rnum,rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt,current_date
3,3,0,OLD,20248513,바람의 세월,2024-04-03,6363739,4.7,676139,11.9,28711878,792,104,15.1,3397,43,43,2024-04-05
4,4,0,OLD,20173226,패왕별희 디 오리지널,2017-03-30,5843673,4.3,823279,16.4,1313403877,732,86,13.3,143379,69,74,2024-04-05
5,5,2,OLD,20235841,키메라,2024-04-03,5311400,3.9,445100,9.1,30371039,555,22,4.1,3203,51,65,2024-04-05
6,6,0,OLD,20234619,로봇 드림,2024-03-13,4769239,3.5,-265939,-5.3,266538937,492,-69,-12.3,27310,36,43,2024-04-05
7,7,-2,OLD,20236456,라스트 썸머,2024-04-03,2932400,2.2,-1667100,-36.2,16148400,356,-211,-37.2,1883,32,33,2024-04-05
8,8,0,NEW,20108090,흑기사,1973-10-24,410000,0.3,410000,100,24572500,205,205,100,11745,1,4,2024-04-05
9,9,10,OLD,20176562,예수는 역사다,2017-07-13,2026000,1.5,1745000,621,1347547392,203,156,331.9,185005,3,3,2024-04-05
10,10,-1,OLD,19869057,영웅본색,1987-05-23,1397639,1.0,-66139,-4.5,157680869,175,-25,-12.5,22918,31,31,2024-04-05
1,1,0,OLD,20231677,남은 인생 10년,2023-05-24,206100538,73.6,123493347,149.5,1900954059,20794,12367,146.8,181650,353,545,2024-04-06
2,2,0,OLD,20235838,악은 존재하지 않는다,2024-03-27,17744495,6.3,3914887,28.3,274465341,1827,481,35.7,27502,93,125,2024-04-06
3,3,3,OLD,20234619,로봇 드림,2024-03-13,12076178,4.3,7306939,153.2,278615115,1079,587,119.3,28389,44,51,2024-04-06
4,4,1,OLD,20235841,키메라,2024-04-03,9837430,3.5,4526030,85.2,40208469,906,351,63.2,4109,49,68,2024-04-06
5,5,-1,OLD,20173226,패왕별희 디 오리지널,2017-03-30,6343673,2.3,500000,8.6,1319747550,795,63,8.6,144174,64,74,2024-04-06
