rnum,rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt,current_date
1,1,0,OLD,20234114,괴물,2023-11-29,92381680,37.0,-3768994,-3.9,3884333955,8710,-524,-5.7,396137,187,263,2024-01-01
2,2,0,OLD,20236045,"바다 탐험대 옥토넛 어보브 앤 비욘드: 버드, 옥토경보를 울려라!",2023-12-27,53094530,21.3,-707720,-1.3,372974290,6471,67,1,45294,207,248,2024-01-01
3,3,0,OLD,20236080,류이치 사카모토: 오퍼스,2023-12-27,31686950,12.7,-15234118,-32.5,317887981,3001,-1659,-35.6,34196,200,270,2024-01-01
4,4,0,OLD,20233299,크레센도,2023-12-20,29203100,11.7,-2644200,-8.3,424298400,2534,-235,-8.5,39445,79,102,2024-01-01
5,5,0,OLD,20235923,사랑은 낙엽을 타고,2023-12-20,11011634,4.4,285955,2.7,163391820,1052,-28,-2.6,17008,30,33,2024-01-01
6,6,0,OLD,20235693,리빙: 어떤 인생,2023-12-13,6942434,2.8,-1569966,-18.4,174717087,729,-181,-19.9,18551,20,23,2024-01-01
7,7,5,OLD,20234664,그대들은 어떻게 살 것인가,2023-10-25,3371362,1.4,-142718,-4.1,19543638004,318,-29,-8.4,2009716,17,20,2024-01-01
8,8,2,OLD,20124722,피아니스트의 전설,2020-01-01,3063078,1.2,-1092200,-26.3,416989591,294,-142,-32.6,51876,23,25,2024-01-01
9,8,0,NEW,20236533,립세의 사계,2024-01-10,2804970,1.1,2804970,100,4330970,294,294,100,512,4,4,2024-01-01
10,10,4,OLD,19860125,쿼바디스,1973-01-13,589000,0.2,149000,33.9,37856982,292,72,32.7,20951,1,3,2024-01-01
1,1,0,OLD,20234114,괴물,2023-11-29,43315128,34.5,-49066552,-53.1,3927649083,4366,-4344,-49.9,400503,199,279,2024-01-02
2,2,0,OLD,20236045,"바다 탐험대 옥토넛 어보브 앤 비욘드: 버드, 옥토경보를 울려라!",2023-12-27,26098300,20.8,-26996230,-50.8,399072590,3343,-3128,-48.3,48637,183,209,2024-01-02
3,3,1,OLD,20233299,크레센도,2023-12-20,15612000,12.4,-13591100,-46.5,439910400,1920,-614,-24.2,41365,79,117,2024-01-02
4,4,-1,OLD,20236080,류이치 사카모토: 오퍼스,2023-12-27,18130115,14.4,-13556835,-42.8,336018096,1888,-1113,-37.1,36084,207,285,2024-01-02
5,5,1,OLD,20235693,리빙: 어떤 인생,2023-12-13,3129306,2.5,-3813128,-54.9,177846393,381,-348,-47.7,18932,16,20,2024-01-02
