rnum,rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt,current_date
10,10,0,OLD,20199981,눈의 여왕4,2019-12-24,64316240,0.9,20872980,48,1313304860,7939,2542,47.1,177408,246,288,2020-01-04
1,1,0,OLD,20192206,백두산,2019-12-19,1809882740,30.5,-319112240,-15,63308870470,205310,-35756,-14.8,7479389,1215,5548,2020-01-05
2,2,0,OLD,20184571,천문: 하늘에 묻는다,2019-12-26,1087854240,18.3,-212210750,-16.3,13373622380,125680,-23612,-15.8,1611399,922,3521,2020-01-05
3,3,0,OLD,20196272,미드웨이,2019-12-31,987319520,16.6,-206462160,-17.3,5818353580,111470,-22476,-16.8,669797,839,2918,2020-01-05
4,4,0,OLD,20198414,시동,2019-12-18,846061220,14.2,-134936480,-13.8,25727945170,95460,-15258,-13.8,3037781,802,2912,2020-01-05
5,5,0,OLD,20197803,겨울왕국 2,2019-11-21,348807660,5.9,-57522320,-14.2,113542953120,39657,-6386,-13.9,13593927,641,1363,2020-01-05
6,6,0,OLD,20198374,신비아파트 극장판 하늘도깨비 대 요르문간드,2019-12-19,240574900,4.0,8060070,3.5,6399611270,29699,734,2.5,810299,513,825,2020-01-05
7,7,0,OLD,20192401,포드 V 페라리,2019-12-04,153774100,2.6,-49522480,-24.4,11368227300,16183,-4958,-23.5,1288953,203,420,2020-01-05
8,8,0,OLD,20191408,21 브릿지: 테러 셧다운 ,2020-01-01,105711000,1.8,-15379000,-12.7,577498400,12016,-1690,-12.3,66366,216,675,2020-01-05
9,9,0,OLD,20198430,나이브스 아웃,2019-12-04,98379680,1.7,-23049900,-19,6127176010,10675,-2477,-18.8,719800,146,289,2020-01-05
10,10,0,OLD,20199981,눈의 여왕4,2019-12-24,60428340,1.0,-3887900,-6,1373733200,7393,-546,-6.9,184801,250,291,2020-01-05
1,1,0,OLD,20192206,백두산,2019-12-19,576165280,29.1,-1233717460,-68.2,63885035750,71674,-133636,-65.1,7551063,1146,5088,2020-01-06
2,2,0,OLD,20184571,천문: 하늘에 묻는다,2019-12-26,324735340,16.4,-763118900,-70.1,13698357720,40871,-84809,-67.5,1652270,873,3299,2020-01-06
3,3,0,OLD,20196272,미드웨이,2019-12-31,302353160,15.3,-684966360,-69.4,6120706740,37037,-74433,-66.8,706834,772,2829,2020-01-06
4,4,0,OLD,20198414,시동,2019-12-18,289139340,14.6,-556921880,-65.8,26017084510,35338,-60122,-63,3073119,739,2785,2020-01-06
5,5,0,OLD,20197803,겨울왕국 2,2019-11-21,117873800,6.0,-230933860,-66.2,113660826920,14574,-25083,-63.2,13608501,571,1167,2020-01-06
6,6,0,OLD,20198374,신비아파트 극장판 하늘도깨비 대 요르문간드,2019-12-19,61169800,3.1,-179405100,-74.6,6460781070,8356,-21343,-71.9,818655,423,621,2020-01-06
7,7,1,OLD,20191408,21 브릿지: 테러 셧다운 ,2020-01-01,57217500,2.9,-48493500,-45.9,634715900,7718,-4298,-35.8,74084,204,621,2020-01-06
8,8,-1,OLD,20192401,포드 V 페라리,2019-12-04,47763520,2.4,-106010580,-68.9,11415990820,5565,-10618,-65.6,1294518,193,395,2020-01-06
9,9,0,NEW,20183002,해치지않아,2020-01-15,47693000,2.4,47693000,100,245234000,5347,5347,100,28679,24,25,2020-01-06
10,10,-1,OLD,20198430,나이브스 아웃,2019-12-04,40368620,2.0,-58011060,-59,6167544630,4743,-5932,-55.6,724543,160,310,2020-01-06
1,1,0,OLD,20192206,백두산,2019-12-19,572810270,28.7,-3355010,-0.6,64457846020,71911,237,0.3,7622974,1171,5046,2020-01-07
2,2,0,OLD,20184571,천문: 하늘에 묻는다,2019-12-26,328800060,16.5,4064720,1.3,14027157780,41623,752,1.8,1693893,873,3287,2020-01-07
3,3,1,OLD,20198414,시동,2019-12-18,286957840,14.4,-2181500,-0.8,26304042350,35312,-26,-0.1,3108431,747,2787,2020-01-07
4,4,-1,OLD,20196272,미드웨이,2019-12-31,286206460,14.3,-16146700,-5.3,6406913200,35278,-1759,-4.7,742112,788,2804,2020-01-07
5,5,0,OLD,20197803,겨울왕국 2,2019-11-21,118655900,5.9,782100,0.7,113779482820,14913,339,2.3,13623414,597,1185,2020-01-07
6,6,0,OLD,20198374,신비아파트 극장판 하늘도깨비 대 요르문간드,2019-12-19,61446420,3.1,276620,0.5,6522227490,8370,14,0.2,827025,431,626,2020-01-07
7,7,4,OLD,20198818,프린스 코기,2019-12-24,44430780,2.2,26883200,153.2,1364803840,7833,5352,215.7,177351,198,234,2020-01-07
8,8,0,OLD,20192401,포드 V 페라리,2019-12-04,50889120,2.5,3125600,6.5,11466879940,5886,321,5.8,1300404,196,401,2020-01-07
9,9,-2,OLD,20191408,21 브릿지: 테러 셧다운 ,2020-01-01,42250500,2.1,-14967000,-26.2,676966400,5664,-2054,-26.6,79748,203,611,2020-01-07
10,10,0,OLD,20198430,나이브스 아웃,2019-12-04,42965720,2.2,2597100,6.4,6210510350,5038,295,6.2,729581,163,310,2020-01-07
1,1,20,OLD,20199581,닥터 두리틀,2020-01-08,860829200,29.7,857220200,23752.3,864438200,107984,107583,26828.7,108385,1016,4439,2020-01-08
2,2,0,NEW,20195462,스타워즈: 라이즈 오브 스카이워커,2020-01-08,654452510,22.6,654452510,100,670676510,73090,73090,100,74338,957,3592,2020-01-08
3,3,-2,OLD,20192206,백두산,2019-12-19,455463800,15.7,-117346470,-20.5,64913309820,56626,-15285,-21.3,7679600,864,3374,2020-01-08
4,4,-2,OLD,20184571,천문: 하늘에 묻는다,2019-12-26,224348340,7.7,-104451720,-31.8,14251506120,28562,-13061,-31.4,1722455,688,2051,2020-01-08
5,5,-2,OLD,20198414,시동,2019-12-18,184764060,6.4,-102193780,-35.6,26488806410,22536,-12776,-36.2,3130967,590,1591,2020-01-08
6,6,-2,OLD,20196272,미드웨이,2019-12-31,172700760,6.0,-113505700,-39.7,6579613960,21496,-13782,-39.1,763608,577,1516,2020-01-08
7,7,-2,OLD,20197803,겨울왕국 2,2019-11-21,68569440,2.4,-50086460,-42.2,113848052260,8690,-6223,-41.7,13632104,384,593,2020-01-08
8,8,-2,OLD,20198374,신비아파트 극장판 하늘도깨비 대 요르문간드,2019-12-19,34771940,1.2,-26674480,-43.4,6556999430,4645,-3725,-44.5,831670,233,283,2020-01-08
9,9,0,OLD,20191408,21 브릿지: 테러 셧다운 ,2020-01-01,30820800,1.1,-11429700,-27.1,707787200,4201,-1463,-25.8,83949,147,233,2020-01-08
10,10,1,OLD,20183002,해치지않아,2020-01-15,29296000,1.0,-10719000,-26.8,314545000,3476,-1055,-23.3,36686,17,17,2020-01-08
1,1,0,OLD,20199581,닥터 두리틀,2020-01-08,827211890,34.2,-33617310,-3.9,1691650090,103493,-4491,-4.2,211878,1085,4573,2020-01-09
2,2,1,OLD,20192206,백두산,2019-12-19,411452030,17.0,-44011770,-9.7,65324761850,51441,-5185,-9.2,7731041,851,3230,2020-01-09
3,3,-1,OLD,20195462,스타워즈: 라이즈 오브 스카이워커,2020-01-08,403202790,16.7,-251249720,-38.4,1073879300,45219,-27871,-38.1,119557,947,3444,2020-01-09
4,4,0,OLD,20184571,천문: 하늘에 묻는다,2019-12-26,200610590,8.3,-23737750,-10.6,14452116710,26268,-2294,-8,1748723,679,1957,2020-01-09
5,5,0,OLD,20198414,시동,2019-12-18,159452560,6.6,-25311500,-13.7,26648258970,19667,-2869,-12.7,3150634,600,1501,2020-01-09
6,6,0,OLD,20196272,미드웨이,2019-12-31,142658260,5.9,-30042500,-17.4,6722272220,17616,-3880,-18,781224,577,1447,2020-01-09
7,7,0,OLD,20197803,겨울왕국 2,2019-11-21,72022980,3.0,3453540,5,113920075240,9258,568,6.5,13641362,379,568,2020-01-09
8,8,0,OLD,20198374,신비아파트 극장판 하늘도깨비 대 요르문간드,2019-12-19,33263940,1.4,-1508000,-4.3,6590263370,4506,-139,-3,836176,226,268,2020-01-09
9,9,3,OLD,20198430,나이브스 아웃,2019-12-04,25421480,1.1,-860840,-3.3,6262214150,2968,-116,-3.8,735633,96,151,2020-01-09
10,10,3,OLD,20192401,포드 V 페라리,2019-12-04,23372240,1.0,-1764340,-7,11515388760,2754,-187,-6.4,1306099,129,189,2020-01-09
1,1,0,OLD,20199581,닥터 두리틀,2020-01-08,1121469180,37.4,294257290,35.6,2813119270,129060,25567,24.7,340938,1137,4944,2020-01-10
2,2,0,OLD,20192206,백두산,2019-12-19,467789180,15.6,56337150,13.7,65792551030,52933,1492,2.9,7783974,881,3284,2020-01-10
3,3,0,OLD,20195462,스타워즈: 라이즈 오브 스카이워커,2020-01-08,475912240,15.9,72709450,18,1549791540,48488,3269,7.2,168045,948,3407,2020-01-10
4,4,0,OLD,20184571,천문: 하늘에 묻는다,2019-12-26,239224700,8.0,38614110,19.2,14691341410,28698,2430,9.3,1777421,685,1974,2020-01-10
5,5,0,OLD,20198414,시동,2019-12-18,187054680,6.2,27602120,17.3,26835313650,20996,1329,6.8,3171630,612,1542,2020-01-10
6,6,0,OLD,20196272,미드웨이,2019-12-31,184122760,6.1,41464500,29.1,6906394980,20866,3250,18.4,802090,581,1440,2020-01-10
7,7,0,OLD,20197803,겨울왕국 2,2019-11-21,74284480,2.5,2261500,3.1,113994359720,8906,-352,-3.8,13650268,384,579,2020-01-10
8,8,0,OLD,20198374,신비아파트 극장판 하늘도깨비 대 요르문간드,2019-12-19,33421320,1.1,157380,0.5,6623684690,4116,-390,-8.7,840292,222,263,2020-01-10
9,9,0,OLD,20198430,나이브스 아웃,2019-12-04,35279900,1.2,9858420,38.8,6297494050,3771,803,27.1,739404,108,171,2020-01-10
10,10,1,OLD,20196161,타발루가와 얼음공주,2020-01-08,24956000,0.8,7995220,47.1,76690140,3744,1261,50.8,11022,250,280,2020-01-10
1,1,0,OLD,20199581,닥터 두리틀,2020-01-08,2666640530,40.1,1545171350,137.8,5479759800,307988,178928,138.6,648926,1279,5982,2020-01-11
2,2,1,OLD,20195462,스타워즈: 라이즈 오브 스카이워커,2020-01-08,1103053180,16.6,627140940,131.8,2652844720,115463,66975,138.1,283508,908,3403,2020-01-11
3,3,-1,OLD,20192206,백두산,2019-12-19,1009727790,15.2,541938610,115.9,66802278820,113154,60221,113.8,7897128,877,3298,2020-01-11
4,4,0,OLD,20184571,천문: 하늘에 묻는다,2019-12-26,482675400,7.3,243450700,101.8,15174016810,55967,27269,95,1833388,671,1874,2020-01-11
5,5,1,OLD,20196272,미드웨이,2019-12-31,389611290,5.9,205488530,111.6,7296006270,43954,23088,110.6,846044,576,1319,2020-01-11
6,6,-1,OLD,20198414,시동,2019-12-18,381329520,5.7,194274840,103.9,27216643170,42477,21481,102.3,3214107,632,1535,2020-01-11
7,7,0,OLD,20197803,겨울왕국 2,2019-11-21,150526170,2.3,76241690,102.6,114144885890,17190,8284,93,13667458,425,652,2020-01-11
8,8,0,OLD,20198374,신비아파트 극장판 하늘도깨비 대 요르문간드,2019-12-19,103709240,1.6,70287920,210.3,6727393930,12840,8724,212,853132,320,416,2020-01-11
9,9,2,OLD,20192401,포드 V 페라리,2019-12-04,72237380,1.1,39086160,117.9,11620777360,7703,4221,121.2,1317284,129,200,2020-01-11
10,10,-1,OLD,20198430,나이브스 아웃,2019-12-04,69945960,1.1,34666060,98.3,6367440010,7493,3722,98.7,746897,111,175,2020-01-11
1,1,0,OLD,20199581,닥터 두리틀,2020-01-08,2423634720,40.8,-243005810,-9.1,7903394520,280696,-27292,-8.9,929622,1290,5940,2020-01-12
2,2,1,OLD,20192206,백두산,2019-12-19,885695930,14.9,-124031860,-12.3,67687974750,99296,-13858,-12.2,7996424,865,3210,2020-01-12
3,3,-1,OLD,20195462,스타워즈: 라이즈 오브 스카이워커,2020-01-08,919632380,15.5,-183420800,-16.6,3572477100,98001,-17462,-15.1,381509,881,3201,2020-01-12
4,4,0,OLD,20184571,천문: 하늘에 묻는다,2019-12-26,451395660,7.6,-31279740,-6.5,15625412470,52985,-2982,-5.3,1886373,682,1846,2020-01-12
5,5,0,OLD,20196272,미드웨이,2019-12-31,336655100,5.7,-52956190,-13.6,7632661370,38196,-5758,-13.1,884240,570,1288,2020-01-12
6,6,0,OLD,20198414,시동,2019-12-18,333740770,5.6,-47588750,-12.5,27550383940,37239,-5238,-12.3,3251346,628,1484,2020-01-12
7,7,0,OLD,20197803,겨울왕국 2,2019-11-21,150259820,2.5,-266350,-0.2,114295145710,17190,0,0,13684648,425,660,2020-01-12
8,8,0,OLD,20198374,신비아파트 극장판 하늘도깨비 대 요르문간드,2019-12-19,115878300,1.9,12169060,11.7,6843272230,14029,1189,9.3,867161,316,416,2020-01-12
9,9,0,OLD,20192401,포드 V 페라리,2019-12-04,61684620,1.0,-10552760,-14.6,11682461980,6568,-1135,-14.7,1323852,129,188,2020-01-12
10,10,0,OLD,20198430,나이브스 아웃,2019-12-04,57895940,1.0,-12050020,-17.2,6425335950,6194,-1299,-17.3,753091,116,175,2020-01-12
1,1,0,OLD,20199581,닥터 두리틀,2020-01-08,643398540,37.8,-1780236180,-73.5,8546793060,80766,-199930,-71.2,1010388,1155,5226,2020-01-13
2,2,0,OLD,20192206,백두산,2019-12-19,276814260,16.3,-608881670,-68.7,67964789010,34217,-65079,-65.5,8030641,801,3040,2020-01-13
3,3,0,OLD,20195462,스타워즈: 라이즈 오브 스카이워커,2020-01-08,189082710,11.1,-730549670,-79.4,3761559810,21428,-76573,-78.1,402937,784,2734,2020-01-13
4,4,0,OLD,20184571,천문: 하늘에 묻는다,2019-12-26,135734050,8.0,-315661610,-69.9,15761146520,17194,-35791,-67.5,1903567,653,1802,2020-01-13
