movieCd,movieNm,showTm,prdtYear,openDt,prdtStatNm,typeNm,nationNm,genreNm,director,actor,showTypeGroupNm,showTypeNm,audits
20040725,화양연화,98,2000,20001020,개봉,장편,홍콩,드라마,왕가위,"장만옥, 양조위","필름, 2D, 2D","필름, 디지털, 디지털 4K","15세관람가, 15세이상관람가"
20080269,해피 투게더,96,1997,19980822,개봉,장편,홍콩,드라마,왕가위,"장국영, 양조위, 장첸","필름, 2D, 2D","필름, 디지털, 디지털 4K","18세 미만인 자는 관람할 수 없는 등급, 15세이상관람가"
20234708,막걸리가 알려줄거야,91,2024,20240228,개봉,장편,한국,드라마,김다민,"박나은, 박효주, 김희원, 김지훈",2D,디지털,전체관람가
20234641,극장판 츠루네: 시작의 한 발,102,2022,20240221,개봉,장편,일본,애니메이션,야마무라 타쿠야,"우에무라 유우토, 이치카와 아오이",2D,디지털,전체관람가
20230614,대결! 애니메이션,128,2022,20240306,개봉,장편,일본,드라마,요시노 코헤이,"요시오카 리호, 나카무라 토모야, 오노 마치코, 에모토 타스쿠",2D,디지털,12세이상관람가
20235145,기적의 시작,81,2023,20240222,개봉,장편,한국,다큐멘터리,권순도,임동진,2D,디지털,12세이상관람가
20247451,오키쿠와 세계,90,2023,20240221,개봉,장편,일본,드라마,사카모토 준지,"쿠로키 하루, 이케마츠 소스케, 칸이치로, 사토 코이치, 이시바시 렌지",2D,디지털,12세이상관람가
20232134,돌핀,89,2022,20240313,개봉,장편,한국,드라마,배두리,"권유리, 길해연, 현우석, 박미현, 심희섭",2D,디지털,12세이상관람가
20232077,어른 김장하,104,2023,20231115,개봉,장편,한국,다큐멘터리,김현지,김장하,"2D, 2D","디지털, 디지털 영문자막",전체관람가
20176562,예수는 역사다,113,2017,20170713,개봉,장편,미국,드라마,존 건,"마이크 보겔, 에리카 크리스틴슨, 페이 더너웨이, 로버트 포스터",2D,디지털,전체관람가
20247373,여기는 아미코,104,2022,20240228,개봉,장편,일본,가족,,"아라타, 오노 마치코",2D,디지털,전체관람가
20234731,갓랜드,142,2022,20240228,개봉,장편,덴마크,드라마,흘리뉘르 팔메이슨,,2D,디지털,15세이상관람가
20247053,메이 디셈버,117,2023,20240313,개봉,장편,미국,드라마,토드 헤인즈,"나탈리 포트만, 줄리안 무어, 찰스 멜튼",2D,디지털,청소년관람불가
20247593,용감한 돌고래 벨루와 바닷속 친구들,82,2023,20240313,개봉,장편,캐나다,애니메이션,,,2D,디지털 더빙,전체관람가
20234619,로봇 드림,102,2023,20240313,개봉,장편,스페인,애니메이션,파블로 베르헤르,,2D,디지털,전체관람가
20235926,퍼펙트 데이즈,124,2023,,기타,장편,일본,드라마,빔 벤더스,,2D,디지털,12세이상관람가
20234762,무경계,89,2023,20231130,개봉,장편,한국,다큐멘터리,진재운,김명곤,2D,디지털,전체관람가
20101278,그을린 사랑,130,2010,20110721,개봉,장편,캐나다,드라마,드니 빌뇌브,루브나 아자발,"필름, 2D","필름, 디지털",청소년관람불가
20247195,레이징 그레이스,104,2023,20240313,개봉,장편,영국,스릴러,패리스 자실라,"맥스 에이겐만, 리앤 베스트, 데이비드 헤이먼, 제이든 페이지 보아디야",2D,디지털,15세이상관람가
20234242,조용한 이주,103,2023,20240320,개봉,장편,덴마크,드라마,말레나 최,코르넬리우스 원 리델클라우센,2D,디지털,12세이상관람가
20234808,생츄어리 2 : 쿼카가 너무해,87,2020,20240307,개봉,장편,호주,애니메이션,리카르드 쿠소,"앵거리 라이스, 샘 닐, 김소희, 김용, 박시윤","2D, 2D","디지털, 디지털 더빙",전체관람가
20235921,힙노시스: LP 커버의 전설,100,2022,20240501,개봉예정,장편,영국,다큐멘터리,안톤 코르빈,"오브리 파월, 스톰 소거슨, 폴 매카트니, 데이비드 길모어, 로저 워터스, 닉 메이슨, 지미 페이지, 로버트 플랜트, 노엘 갤러거, 피터 가브리엘, 그레이엄 굴드먼, 글렌 매틀록",2D,디지털,15세이상관람가
20223125,세월: 라이프 고즈 온,98,2024,20240327,개봉,장편,한국,다큐멘터리,장민경,"고석, 황명애",2D,디지털,전체관람가
20207341,레이니 데이 인 뉴욕,92,2019,20200506,개봉,장편,미국,코미디,우디 앨런,"티모시 샬라메, 엘르 패닝, 셀레나 고메즈, 주드 로, 디에고 루나, 리브 슈라이버",2D,디지털,15세이상관람가
20235562,인어공주: 마법물약의 비밀,82,2023,20240314,개봉,장편,미국,애니메이션,,,"2D, 2D","디지털, 디지털 더빙",전체관람가
20247573,왓츠 러브,109,2022,20240320,개봉,장편,영국,멜로/로맨스,세자르 카푸르,"릴리 제임스, 샤자드 라티프, 엠마 톰슨",2D,디지털,15세이상관람가
19628012,007 살인번호,110,1962,,기타,장편,영국,액션,테렌스 영,"숀 코네리, 우슬라 안드레스, 버나드 리","필름, 2D","필름, 디지털",
20236181,은하수,104,2023,20240410,개봉,장편,한국,드라마,최정한,"윤제문, 김지훈, 이시아, 김낙연, 김정운, 조동혁, 최호섭, 이성우, 김현정, 유미, 박선주, 김은우, 고유진, 전인혁, 김종구, 임경희, 한승현, 김누리, 이동현, 정승진, 강희구, 윤예림, 정애화, 차건우, 박성호, 서은지, 김준원, 윤관우, 안민영, 전우재, 김성주, 이고운, 김나윤, 김가은, 송두학, 윤예솔, 서예선, 장재희, 이승진, 김홍국, 배은비, 모노제이, 이동기, 이정현, 김병탁, 김시현, 오윤겸, 조준기, 윤지수, 김기웅, 김회진, 손예빈, 박우영, 이동민, 김정환, 박유진, 서현우, 노태준, 문서형, 박성훈, 김형근, 강지민",2D,디지털,12세이상관람가
20225881,붉은 장미의 추억,62,2022,20231102,개봉,장편,한국,드라마,백재호,"김영민, 김태완, 남기욱, 위다은, 김세중, 배우경",2D,디지털,12세이상관람가
20247497,래빗스쿨 2: 부활절 대소동,75,2022,20240327,개봉,장편,독일,애니메이션,우테 폰 뮌쇼폴,,2D,디지털 더빙,전체관람가
20247565,리볼버 릴리,139,2023,20240321,개봉,장편,일본,액션,유키사다 이사오,"아야세 하루카, 하세가와 히로키",2D,디지털,15세이상관람가
19730041,애인교실,100,1973,19730413,개봉,장편,한국,멜로/로맨스,고영남,"신성일, 윤정희, 김미영","필름, 2D","필름, 디지털","12세이상관람가, 15세이상관람가"
20231459,탐정 말로,109,2022,20240321,개봉,장편,아일랜드,범죄,닐 조단,"리암 니슨, 다이앤 크루거, 제시카 랭",2D,디지털,15세이상관람가
20147795,천국의 열쇠,137,1944,,기타,장편,미국,드라마,존 M. 스탈,"그레고리 펙, 토마스 미첼","필름, 2D","필름, 디지털",
19628006,알라바마 이야기,124,1962,,기타,,미국,드라마,로버트 멀리건,그레고리 펙,"필름, 2D","필름, 디지털",
20248513,바람의 세월,104,2024,20240403,개봉,장편,한국,다큐멘터리,문종택,,2D,디지털,12세이상관람가
20235838,악은 존재하지 않는다,106,2023,20240327,개봉,장편,일본,드라마,하마구치 류스케,"오미카 히토시, 니시카와 료, 코사카 류지, 시부타니 아야카",2D,디지털,12세이상관람가
20108884,삼손과 데릴라,130,1949,19741221,개봉,장편,미국,드라마,세실 B. 데밀,"안젤라 랜스베리, 헤디 라머, 조지 샌더스","필름, 2D","필름, 디지털",청소년관람불가
19538021,나이아가라,92,1953,,기타,장편,미국,드라마,헨리 해서웨이,"마릴린 몬로, 조셉 코튼, 진 피터스","필름, 2D","필름, 디지털",
19598021,파계,151,1959,,기타,장편,미국,드라마,프레드 진네만,"오드리 헵번, 피터 핀치","필름, 2D","필름, 디지털",
20173226,패왕별희 디 오리지널,171,1993,20170330,개봉,장편,중국,드라마,첸 카이거,"장국영, 공리, 장풍의",2D,디지털,15세이상관람가
19869057,영웅본색,94,1986,19870523,개봉,장편,홍콩,액션,오우삼,"주윤발, 장국영, 적룡","필름, 2D","필름, 디지털","고등학생이상관람가, 15세이상관람가"
20101178,루팡 3세: 칼리오스트로의 성,99,1979,20170525,개봉,장편,일본,애니메이션,미야자키 하야오,,"필름, 2D","필름, 디지털","12세이상관람가, 12세이상관람가"
19870093,성의,140,1953,19861231,개봉,장편,미국,드라마,헨리 코스터,"리차드 버튼, 장 시몬즈, 빅토르 머쳐, 마이클 레니","필름, 2D","필름, 디지털",연소자관람가
19568053,상처뿐인 영광,114,1956,19710626,개봉,장편,미국,드라마,로버트 와이즈,"폴 뉴먼, 에버렛 슬로언","필름, 2D","필름, 디지털",
