rnum,rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt,current_date
1,1,0,OLD,20198104,바이스,2019-04-11,48050500,33.3,-4199500,-8,765708000,5891,-603,-9.3,89773,226,796,2019-04-16
2,2,0,OLD,20183773,장난스런 키스,2019-03-27,27458470,19.0,-4199880,-13.3,3244625048,3376,-455,-11.9,397755,266,475,2019-04-16
3,3,0,NEW,20188393,"다시, 봄",2019-04-17,18862000,13.1,18862000,100,30618000,2066,2066,100,3542,7,7,2019-04-16
4,4,-1,OLD,20197092,로망,2019-04-03,8323900,5.8,174670,2.1,525888460,1280,11,0.9,68751,82,112,2019-04-16
5,5,45,OLD,20197483,1919 유관순,2019-03-14,7880000,5.5,7860000,39300,451851910,935,932,31066.7,54579,3,5,2019-04-16
6,6,-2,OLD,20197088,퍼스트 리폼드,2019-04-11,4498260,3.1,-58920,-1.3,54080480,618,-23,-3.6,6685,46,75,2019-04-16
7,7,-1,OLD,20198146,콜레트,2019-03-27,3832180,2.7,683400,21.7,365550511,551,105,23.5,45247,45,60,2019-04-16
8,8,0,NEW,20199623,고양이 여행 리포트,2019-05-09,3024000,2.1,3024000,100,5348000,432,432,100,764,1,1,2019-04-16
9,9,0,NEW,20180802,러브리스,2019-04-18,3140000,2.2,3140000,100,12526000,286,286,100,1495,1,1,2019-04-16
10,10,-1,OLD,20199009,나의 작은 시인에게,2019-04-04,2040800,1.4,-535100,-20.8,75923530,273,-80,-22.7,9498,37,47,2019-04-16
1,1,0,OLD,20198104,바이스,2019-04-11,43458300,22.6,-4592200,-9.6,809166300,5363,-528,-9,95136,193,638,2019-04-17
2,2,0,NEW,19990220,노팅 힐,1999-07-03,34328300,17.8,34328300,100,34613300,4512,4512,100,4615,168,512,2019-04-17
3,3,0,OLD,20188393,"다시, 봄",2019-04-17,32372060,16.8,13510060,71.6,62990060,4124,2058,99.6,7666,360,822,2019-04-17
4,4,-2,OLD,20183773,장난스런 키스,2019-03-27,32348500,16.8,4890030,17.8,3276973548,3955,579,17.2,401710,201,372,2019-04-17
5,5,-1,OLD,20197092,로망,2019-04-03,6730000,3.5,-1593900,-19.1,532618460,1046,-234,-18.3,69797,51,65,2019-04-17
6,6,6,OLD,20198043,아픈 만큼 사랑한다,2019-04-03,4229500,2.2,3186200,305.4,74408300,665,457,219.7,9553,16,20,2019-04-17
7,7,-1,OLD,20197088,퍼스트 리폼드,2019-04-11,4367600,2.3,-130660,-2.9,58448080,613,-5,-0.8,7298,46,72,2019-04-17
8,8,-1,OLD,20198146,콜레트,2019-03-27,4328050,2.2,495870,12.9,369878561,599,48,8.7,45846,44,65,2019-04-17
9,9,-4,OLD,20197483,1919 유관순,2019-03-14,5141500,2.7,-2738500,-34.8,456993410,585,-350,-37.4,55164,5,5,2019-04-17
10,10,0,OLD,20199009,나의 작은 시인에게,2019-04-04,2761500,1.4,720700,35.3,78685030,400,127,46.5,9898,39,53,2019-04-17
1,1,1,OLD,19990220,노팅 힐,1999-07-03,31770700,15.1,-2557600,-7.5,66384000,4118,-394,-8.7,8733,173,542,2019-04-18
2,2,-1,OLD,20198104,바이스,2019-04-11,31218900,14.9,-12239400,-28.2,840385200,3906,-1457,-27.2,99042,182,516,2019-04-18
3,3,0,OLD,20188393,"다시, 봄",2019-04-17,25742440,12.3,-6629620,-20.5,88732500,3296,-828,-20.1,10962,351,756,2019-04-18
4,4,11,OLD,20198912,노무현과 바보들,2019-04-18,24487320,11.7,22264320,1001.5,30085320,3259,3012,1219.4,3881,364,665,2019-04-18
5,5,0,NEW,20199735,유랑지구,2019-04-18,18948480,9.0,18948480,100,20478480,2385,2385,100,2555,172,349,2019-04-18
6,6,-2,OLD,20183773,장난스런 키스,2019-03-27,18249210,8.7,-14099290,-43.6,3295222758,2298,-1657,-41.9,404008,168,286,2019-04-18
7,7,17,OLD,20198603,페이트 스테이 나이트 헤븐즈필 제2장 로스트 버터플라이,2019-03-21,10349880,4.9,9621770,1321.5,371115980,1329,1242,1427.6,41997,29,33,2019-04-18
8,8,0,NEW,20188083,뷰티플 마인드,2019-04-18,6944400,3.3,6944400,100,12962500,890,890,100,1592,155,236,2019-04-18
