movieNm,movieCd,openDt,salesAcc,audiAcc,scrnCnt,showTm,typeNm,nationNm,genreNm,director,actor1,actor2,showTypeGroupNm,showTypeNm,audits,commercial,first_until_weekday_audiAcc,first_until_weekday_salesAcc,1_weeks_audiAcc,1_weeks_salesAcc,2_weeks_audiAcc,2_weeks_salesAcc,3_weeks_audiAcc,3_weeks_salesAcc,4_weeks_audiAcc,4_weeks_salesAcc,5_weeks_audiAcc,5_weeks_salesAcc,6_weeks_audiAcc,6_weeks_salesAcc,7_weeks_audiAcc,7_weeks_salesAcc,8_weeks_audiAcc,8_weeks_salesAcc
경성학교: 사라진 소녀들,20141224,2015-06-18,2732773200,354119,4879,,,,,,,,,,,0,258027.0,2020798900.0,320108.0,2471407000.0,354119.0,2732773200.0,354119.0,2732773200.0,354119.0,2732773200.0,354119.0,2732773200.0,354119.0,2732773200.0,354119.0,2732773200.0,354119.0,2732773200.0
경아의 딸,20212392,2022-06-16,46625600,6619,62,118.0,장편,한국,드라마,김정은,김정영, 하윤경,"2D, 2D","디지털, 디지털 영문자막",15세이상관람가,1,,,1442.0,10814700.0,1442.0,10814700.0,6619.0,46625600.0,6619.0,46625600.0,6619.0,46625600.0,6619.0,46625600.0,6619.0,46625600.0,6619.0,46625600.0
계춘할망,20156559,2016-05-19,3522609748,469479,7435,,,,,,,,,,,0,212695.0,1667943148.0,287965.0,2180198648.0,418734.0,3160376148.0,469479.0,3522609748.0,469479.0,3522609748.0,469479.0,3522609748.0,469479.0,3522609748.0,469479.0,3522609748.0,469479.0,3522609748.0
고고다이노 극장판: 얼음공룡의 비밀,20226739,2022-10-05,368095402,39999,2503,73.0,장편,한국,애니메이션,이선명,이민규, 전태열,2D,디지털,전체관람가,1,28056.0,253017713.0,39999.0,368095402.0,39999.0,368095402.0,39999.0,368095402.0,39999.0,368095402.0,39999.0,368095402.0,39999.0,368095402.0,39999.0,368095402.0,39999.0,368095402.0
고녀석 맛나겠다2 : 함께라서 행복해,20140241,2015-07-29,349962000,50110,983,,,,,,,,,,,1,30095.0,212553400.0,41225.0,288557100.0,50110.0,349962000.0,50110.0,349962000.0,50110.0,349962000.0,50110.0,349962000.0,50110.0,349962000.0,50110.0,349962000.0,50110.0,349962000.0
고릴라와 슈퍼레이스,20198023,2019-04-03,40076280,5158,359,,,,,,,,,,,0,5158.0,40076280.0,5158.0,40076280.0,5158.0,40076280.0,5158.0,40076280.0,5158.0,40076280.0,5158.0,40076280.0,5158.0,40076280.0,5158.0,40076280.0,5158.0,40076280.0
고백,20198663,2021-02-24,222825000,31374,2476,99.0,장편,한국,드라마,서은영,박하선, 하윤경,2D,디지털,15세이상관람가,1,20975.0,147055000.0,25128.0,181819900.0,30453.0,215937000.0,31374.0,222825000.0,31374.0,222825000.0,31374.0,222825000.0,31374.0,222825000.0,31374.0,222825000.0,31374.0,222825000.0
"고산자, 대동여지도",20159648,2016-09-07,7733984558,963742,11171,,,,,,,,,,,0,300540.0,2386147497.0,373983.0,2926400997.0,877939.0,7079915258.0,963742.0,7733984558.0,963742.0,7733984558.0,963742.0,7733984558.0,963742.0,7733984558.0,963742.0,7733984558.0,963742.0,7733984558.0
고속도로 가족,20211242,2022-11-02,162677300,20749,1485,128.0,장편,한국,드라마,이상문,라미란, 정일우,2D,디지털,15세이상관람가,1,17106.0,135048700.0,20749.0,162677300.0,20749.0,162677300.0,20749.0,162677300.0,20749.0,162677300.0,20749.0,162677300.0,20749.0,162677300.0,20749.0,162677300.0,20749.0,162677300.0
고스트 오브 워,20202961,2020-09-02,59762460,7038,1435,94.0,장편,영국,미스터리,에릭 브레스,브렌튼 스웨이츠, 스카이라 애스틴,2D,디지털,15세이상관람가,1,5754.0,49382160.0,7038.0,59762460.0,7038.0,59762460.0,7038.0,59762460.0,7038.0,59762460.0,7038.0,59762460.0,7038.0,59762460.0,7038.0,59762460.0,7038.0,59762460.0
고스트버스터즈,20162404,2016-08-25,3970458775,498808,5701,,,,,,,,,,,0,248876.0,2052642175.0,335848.0,2637545275.0,498808.0,3970458775.0,498808.0,3970458775.0,498808.0,3970458775.0,498808.0,3970458775.0,498808.0,3970458775.0,498808.0,3970458775.0,498808.0,3970458775.0
고스트버스터즈 라이즈,20196763,2021-12-01,1058254730,113130,8193,123.0,장편,미국,어드벤처,제이슨 라이트맨,핀 울프하드, 맥케나 그레이스,"2D, 4D, IMAX, ScreenX, DOLBYCINEMA","디지털, 4D, IMAX, ScreenX, DOLBYCINEMA",12세이상관람가,0,80144.0,780764460.0,89517.0,862695700.0,113130.0,1058254730.0,113130.0,1058254730.0,113130.0,1058254730.0,113130.0,1058254730.0,113130.0,1058254730.0,113130.0,1058254730.0,113130.0,1058254730.0
고양이 여행 리포트,20199623,2019-05-09,63003760,7647,279,,,,,,,,,,,1,7161.0,59283560.0,7647.0,63003760.0,7647.0,63003760.0,7647.0,63003760.0,7647.0,63003760.0,7647.0,63003760.0,7647.0,63003760.0,7647.0,63003760.0,7647.0,63003760.0
고양이를 부탁해,20010007,2001-10-12,5448070,655,51,112.0,장편,한국,드라마,정재은,배두나, 이요원,"필름, 2D","필름, 디지털",12세관람가,1,,,,,,,,,,,,,,,,,,
