movieNm,movieCd,openDt,salesAcc,audiAcc,scrnCnt,showTm,typeNm,nationNm,genreNm,director,actor1,actor2,showTypeGroupNm,showTypeNm,audits,commercial,first_until_weekday_audiAcc,first_until_weekday_salesAcc,1_weeks_audiAcc,1_weeks_salesAcc,2_weeks_audiAcc,2_weeks_salesAcc,3_weeks_audiAcc,3_weeks_salesAcc,4_weeks_audiAcc,4_weeks_salesAcc,5_weeks_audiAcc,5_weeks_salesAcc,6_weeks_audiAcc,6_weeks_salesAcc,7_weeks_audiAcc,7_weeks_salesAcc,8_weeks_audiAcc,8_weeks_salesAcc
극장판 요괴워치 섀도사이드: 도깨비왕의 부활,20188304,2018-09-20,1156057000,151054,3693,,,,,,,,,,,0,46616.0,356481600.0,118270.0,908140400.0,151054.0,1156057000.0,151054.0,1156057000.0,151054.0,1156057000.0,151054.0,1156057000.0,151054.0,1156057000.0,151054.0,1156057000.0,151054.0,1156057000.0
극장판 요괴워치: 염라대왕과 5개의 이야기다냥!,20164521,2016-07-20,2282865580,305117,3891,,,,,,,,,,,0,138629.0,1066059920.0,176225.0,1328906420.0,305117.0,2282865580.0,305117.0,2282865580.0,305117.0,2282865580.0,305117.0,2282865580.0,305117.0,2282865580.0,305117.0,2282865580.0,305117.0,2282865580.0
극장판 요괴워치: 탄생의 비밀이다냥!,20150501,2015-07-22,3813265400,540387,5340,,,,,,,,,,,0,276961.0,1977215600.0,350457.0,2477841200.0,500393.0,3527917000.0,538061.0,3797139700.0,540387.0,3813265400.0,540387.0,3813265400.0,540387.0,3813265400.0,540387.0,3813265400.0,540387.0,3813265400.0
극장판 요괴워치: 포에버 프렌즈,20208393,2020-10-15,72925170,9158,1068,99.0,장편,일본,애니메이션,타카하시 시게하루,신용우, 정혜원,"2D, 2D","디지털, 디지털 더빙",전체관람가,0,9158.0,72925170.0,9158.0,72925170.0,9158.0,72925170.0,9158.0,72925170.0,9158.0,72925170.0,9158.0,72925170.0,9158.0,72925170.0,9158.0,72925170.0,9158.0,72925170.0
극장판 요괴워치: 하늘을 나는 고래와 더블세계다냥!,20172142,2017-09-27,1554200800,211374,3852,,,,,,,,,,,0,93109.0,688405300.0,135829.0,985174800.0,205030.0,1505558100.0,211374.0,1554200800.0,211374.0,1554200800.0,211374.0,1554200800.0,211374.0,1554200800.0,211374.0,1554200800.0,211374.0,1554200800.0
극장판 우당탕탕 은하안전단: 진정한 용기!,20234798,2023-11-30,238935560,31448,847,64.0,장편,한국,애니메이션,정지훈,김은아, 엄상현,2D,디지털,전체관람가,0,22117.0,166812610.0,22117.0,166812610.0,31448.0,238935560.0,31448.0,238935560.0,31448.0,238935560.0,31448.0,238935560.0,31448.0,238935560.0,31448.0,238935560.0,31448.0,238935560.0
극장판 원피스 스탬피드,20203961,2020-02-13,179238560,21173,1313,101.0,장편,일본,애니메이션,,,,"2D, 2D, 4D","디지털, 디지털 더빙, 4D",전체관람가,0,,,21173.0,179238560.0,21173.0,179238560.0,21173.0,179238560.0,21173.0,179238560.0,21173.0,179238560.0,21173.0,179238560.0,21173.0,179238560.0,21173.0,179238560.0
극장판 위 베어 베어스: 곰 브라더스,20170389,2017-08-24,46577800,6620,237,,,,,,,,,,,0,,,6620.0,46577800.0,6620.0,46577800.0,6620.0,46577800.0,6620.0,46577800.0,6620.0,46577800.0,6620.0,46577800.0,6620.0,46577800.0,6620.0,46577800.0
극장판 윌벤져스 : 수상한 캠핑 대소동,20225114,2022-06-23,262047700,26013,538,79.0,장편,한국,애니메이션,신창환,샘 해밍턴, 김서영,2D,디지털,전체관람가,1,15059.0,150648000.0,15059.0,150648000.0,26013.0,262047700.0,26013.0,262047700.0,26013.0,262047700.0,26013.0,262047700.0,26013.0,262047700.0,26013.0,262047700.0,26013.0,262047700.0
극장판 유희왕 더 다크 사이드 오브 디멘션즈,20163981,2016-06-09,183586600,23006,576,,,,,,,,,,,0,23006.0,183586600.0,23006.0,183586600.0,23006.0,183586600.0,23006.0,183586600.0,23006.0,183586600.0,23006.0,183586600.0,23006.0,183586600.0,23006.0,183586600.0,23006.0,183586600.0
극장판 주술회전 0,20223278,2022-02-17,6313704110,635802,28174,104.0,장편,일본,애니메이션,박성후,오가타 메구미, 하나자와 카나,"2D, 4D, IMAX, DOLBYCINEMA","디지털, 4D, IMAX, DOLBYCINEMA",15세이상관람가,0,7699.0,84735200.0,211998.0,2115212720.0,325682.0,3254317120.0,413113.0,4112245860.0,459476.0,4574654560.0,489695.0,4882232680.0,548785.0,5425472430.0,572372.0,5662395200.0,582642.0,5774374960.0
극장판 짱구는 못말려 : 습격!! 외계인 덩덩이,20178321,2017-07-20,2361214000,325543,4988,,,,,,,,,,,0,137959.0,1041422300.0,177506.0,1313284800.0,282689.0,2050966900.0,325543.0,2361214000.0,325543.0,2361214000.0,325543.0,2361214000.0,325543.0,2361214000.0,325543.0,2361214000.0,325543.0,2361214000.0
극장판 짱구는 못말려: 격돌! 낙서왕국과 얼추 네 명의 용사들,20218604,2021-09-15,1872787000,196931,9355,103.0,장편,일본,애니메이션,쿄고쿠 타카히코,박영남, 김환진,"2D, 2D","디지털, 디지털 더빙",전체관람가,0,48406.0,454055060.0,75060.0,710112650.0,131591.0,1249135750.0,157694.0,1494578990.0,179170.0,1701868140.0,189852.0,1804850970.0,196931.0,1872787000.0,196931.0,1872787000.0,196931.0,1872787000.0
극장판 짱구는 못말려: 동물소환 닌자 배꼽수비대,20231348,2023-05-04,7213704222,727223,15719,99.0,장편,일본,애니메이션,하시모토 마사카즈,,,"2D, 2D, 2D","디지털, 디지털 더빙, 디지털 가치봄",전체관람가,0,3085.0,37420876.0,379329.0,3731833448.0,529138.0,5229972820.0,613704.0,6079266209.0,687537.0,6821789908.0,719003.0,7129662244.0,727223.0,7213704222.0,727223.0,7213704222.0,727223.0,7213704222.0
극장판 짱구는 못말려: 수수께끼! 꽃피는 천하떡잎학교,20226777,2022-09-28,8289250603,827170,25193,104.0,장편,일본,애니메이션,타카하시 와타루,,,2D,디지털 더빙,전체관람가,0,150912.0,1504509257.0,241142.0,2395169619.0,461756.0,4618719978.0,566567.0,5674391020.0,646156.0,6477159941.0,704618.0,7060966271.0,757449.0,7595955984.0,793800.0,7960701212.0,816851.0,8188483283.0
극장판 짱구는 못말려: 신혼여행 허리케인~ 사라진 아빠!,20202281,2020-08-20,982159240,120580,8319,99.0,장편,일본,애니메이션,하시모토 마사카즈,박영남, 김환진,"2D, 2D","디지털, 디지털 더빙",전체관람가,0,62681.0,512252290.0,77205.0,624289860.0,99148.0,805354290.0,111355.0,905353500.0,117365.0,955304050.0,120580.0,982159240.0,120580.0,982159240.0,120580.0,982159240.0,120580.0,982159240.0
극장판 짱구는 못말려: 아뵤! 쿵후 보이즈 ~라면 대란~,20183479,2018-12-19,2646546100,341069,4484,,,,,,,,,,,0,112539.0,882499800.0,193161.0,1507864400.0,306578.0,2382611650.0,341069.0,2646546100.0,341069.0,2646546100.0,341069.0,2646546100.0,341069.0,2646546100.0,341069.0,2646546100.0,341069.0,2646546100.0
극장판 천재 추리 탐정 셜록홈즈,20212134,2022-01-27,12962200,1484,114,83.0,장편,홍콩,애니메이션,,석승훈, 김용,"2D, 2D","디지털, 디지털 더빙",전체관람가,0,,,1484.0,12962200.0,1484.0,12962200.0,1484.0,12962200.0,1484.0,12962200.0,1484.0,12962200.0,1484.0,12962200.0,1484.0,12962200.0,1484.0,12962200.0
극장판 츠루네: 시작의 한 발,20234641,2024-02-21,104314080,11526,182,102.0,장편,일본,애니메이션,야마무라 타쿠야,우에무라 유우토, 이치카와 아오이,2D,디지털,전체관람가,1,,,4654.0,42682527.0,11526.0,104314080.0,11526.0,104314080.0,11526.0,104314080.0,11526.0,104314080.0,11526.0,104314080.0,11526.0,104314080.0,11526.0,104314080.0
극장판 콩순이: 장난감나라 대모험,20217174,2021-05-05,637526330,72672,3910,79.0,장편,한국,애니메이션,이선명,박리나, 김은아,2D,디지털,전체관람가,1,50926.0,447860500.0,53269.0,467880640.0,65559.0,577249720.0,72672.0,637526330.0,72672.0,637526330.0,72672.0,637526330.0,72672.0,637526330.0,72672.0,637526330.0,72672.0,637526330.0
극장판 쿠로코의 농구 라스트 게임,20175142,2017-04-27,443906500,60012,557,,,,,,,,,,,0,14730.0,112320000.0,14730.0,112320000.0,26102.0,193043500.0,38924.0,288694500.0,47335.0,351052500.0,47335.0,351052500.0,47335.0,351052500.0,57707.0,427218000.0,60012.0,443906500.0
극장판 타오르지마 버스터-블랙어썰트의 귀환,20196405,2019-12-05,78272240,9965,516,,,,,,,,,,,1,9965.0,78272240.0,9965.0,78272240.0,9965.0,78272240.0,9965.0,78272240.0,9965.0,78272240.0,9965.0,78272240.0,9965.0,78272240.0,9965.0,78272240.0,9965.0,78272240.0
극장판 파워 디지몬 더 비기닝,20235261,2023-11-29,248617300,25513,1055,80.0,장편,일본,애니메이션,타구치 토모히사,카타야마 후쿠쥬로, 오가타 메구미,2D,디지털,12세이상관람가,0,24440.0,237344200.0,25513.0,248617300.0,25513.0,248617300.0,25513.0,248617300.0,25513.0,248617300.0,25513.0,248617300.0,25513.0,248617300.0,25513.0,248617300.0,25513.0,248617300.0
극장판 파워레인저 트레인포스 VS 다이노포스 THE MOVIE,20157883,2015-11-26,629307900,85376,1408,,,,,,,,,,,0,50147.0,369865400.0,50147.0,369865400.0,85376.0,629307900.0,85376.0,629307900.0,85376.0,629307900.0,85376.0,629307900.0,85376.0,629307900.0,85376.0,629307900.0,85376.0,629307900.0
극장판 파워레인저: 닌자포스 VS 트레인포스 닌자 인 원더랜드,20161796,2016-11-03,476388700,60786,1305,,,,,,,,,,,0,41116.0,322424800.0,41116.0,322424800.0,60786.0,476388700.0,60786.0,476388700.0,60786.0,476388700.0,60786.0,476388700.0,60786.0,476388700.0,60786.0,476388700.0,60786.0,476388700.0
극장판 파워레인저: 애니멀포스 VS 닌자포스 미래에서 온 메시지 ,20175244,2017-11-09,461042800,60484,1167,,,,,,,,,,,0,40711.0,312975600.0,40711.0,312975600.0,60484.0,461042800.0,60484.0,461042800.0,60484.0,461042800.0,60484.0,461042800.0,60484.0,461042800.0,60484.0,461042800.0,60484.0,461042800.0
극장판 페이트/그랜드 오더 신성원탁영역 카멜롯 완더링; 아가트람,20215992,2021-02-25,17227740,1869,91,89.0,장편,일본,애니메이션,스에자와 케이,미야노 마모루, 시마자키 노부나가,2D,디지털,15세이상관람가,0,,,1869.0,17227740.0,1869.0,17227740.0,1869.0,17227740.0,1869.0,17227740.0,1869.0,17227740.0,1869.0,17227740.0,1869.0,17227740.0,1869.0,17227740.0
극장판 페이트/그랜드 오더 신성원탁영역 카멜롯 팔라딘; 아가트람,20219551,2021-08-26,9600370,936,44,96.0,장편,일본,애니메이션,아라이 카즈토,미야노 마모루, 시마자키 노부나가,2D,디지털,15세이상관람가,0,,,936.0,9600370.0,936.0,9600370.0,936.0,9600370.0,936.0,9600370.0,936.0,9600370.0,936.0,9600370.0,936.0,9600370.0,936.0,9600370.0
극장판 포켓몬스터 XY : 파괴의 포켓몬과 디안시,20142962,2015-01-14,1606655200,226749,2690,,,,,,,,,,,0,178035.0,1262687200.0,193924.0,1370046600.0,226749.0,1606655200.0,226749.0,1606655200.0,226749.0,1606655200.0,226749.0,1606655200.0,226749.0,1606655200.0,226749.0,1606655200.0,226749.0,1606655200.0
극장판 포켓몬스터 너로 정했다!,20174965,2017-12-21,3779887700,504883,6937,,,,,,,,,,,0,189774.0,1430627300.0,315053.0,2363023600.0,474339.0,3552985500.0,504883.0,3779887700.0,504883.0,3779887700.0,504883.0,3779887700.0,504883.0,3779887700.0,504883.0,3779887700.0,504883.0,3779887700.0
극장판 포켓몬스터 모두의 이야기,20183375,2018-12-19,1070920200,138039,1679,,,,,,,,,,,0,86997.0,677677750.0,138039.0,1070920200.0,138039.0,1070920200.0,138039.0,1070920200.0,138039.0,1070920200.0,138039.0,1070920200.0,138039.0,1070920200.0,138039.0,1070920200.0,138039.0,1070920200.0
극장판 포켓몬스터 뮤츠의 역습 EVOLUTION,20206062,2020-09-30,690129180,86080,4229,96.0,장편,일본,애니메이션,유야마 쿠니히코,이선호, 홍시호,"2D, 2D","디지털, 디지털 더빙",전체관람가,0,68175.0,547848390.0,71712.0,575054210.0,86080.0,690129180.0,86080.0,690129180.0,86080.0,690129180.0,86080.0,690129180.0,86080.0,690129180.0,86080.0,690129180.0,86080.0,690129180.0
"극장판 포켓몬스터: 정글의 아이, 코코",20216801,2021-09-15,1932051080,212712,9048,98.0,장편,일본,애니메이션,야지마 테츠오,,,"2D, 2D","디지털, 디지털 더빙",전체관람가,0,79045.0,718464860.0,108173.0,986919370.0,164750.0,1497415230.0,186609.0,1690530000.0,202400.0,1837585460.0,208739.0,1896361620.0,212712.0,1932051080.0,212712.0,1932051080.0,212712.0,1932051080.0
극장판 포켓몬스터DP - 디아루가 VS 펄기아 VS 다크라이,20135305,2018-06-06,1312260300,173368,3450,,,,,,,,,,,1,133846.0,1013988900.0,134892.0,1021597000.0,173368.0,1312260300.0,173368.0,1312260300.0,173368.0,1312260300.0,173368.0,1312260300.0,173368.0,1312260300.0,173368.0,1312260300.0,173368.0,1312260300.0
극장판 포켓몬스터DP: 기라티나와 하늘의 꽃다발 쉐이미,20135304,2022-06-01,5442074270,577402,7926,96.0,장편,일본,애니메이션,유야마 쿠니히코,마츠모토 리카, 오오타니 이쿠에,"2D, 2D","디지털, 디지털 더빙",전체관람가,0,310209.0,2915585150.0,395963.0,3708040470.0,524610.0,4933919280.0,561220.0,5286531290.0,570815.0,5378017670.0,577402.0,5442074270.0,577402.0,5442074270.0,577402.0,5442074270.0,577402.0,5442074270.0
극장판 프랭키와 친구들: 생명의 나무,20162431,2016-04-13,225958700,28654,764,,,,,,,,,,,0,28654.0,225958700.0,28654.0,225958700.0,28654.0,225958700.0,28654.0,225958700.0,28654.0,225958700.0,28654.0,225958700.0,28654.0,225958700.0,28654.0,225958700.0,28654.0,225958700.0
극장판 프리파라 모두 모여라! 프리즘☆투어즈,20160261,2016-10-13,116404100,13950,155,,,,,,,,,,,1,,,13950.0,116404100.0,13950.0,116404100.0,13950.0,116404100.0,13950.0,116404100.0,13950.0,116404100.0,13950.0,116404100.0,13950.0,116404100.0,13950.0,116404100.0
극장판 프리파라 모두의 동경♪ 렛츠고☆프리파리,20177479,2017-12-28,351268300,45695,993,,,,,,,,,,,0,36450.0,279848900.0,45695.0,351268300.0,45695.0,351268300.0,45695.0,351268300.0,45695.0,351268300.0,45695.0,351268300.0,45695.0,351268300.0,45695.0,351268300.0,45695.0,351268300.0
극장판 피노키오 위대한 모험,20232062,2023-07-13,96263756,11070,533,83.0,장편,헝가리,애니메이션,바실리 로벤스키,폴리 쇼어, 존 헤더,"2D, 2D","디지털, 디지털 더빙",전체관람가,1,11070.0,96263756.0,11070.0,96263756.0,11070.0,96263756.0,11070.0,96263756.0,11070.0,96263756.0,11070.0,96263756.0,11070.0,96263756.0,11070.0,96263756.0,11070.0,96263756.0
극장판 헬로카봇 : 달나라를 구해줘!,20193821,2019-09-04,4474566430,576752,10131,,,,,,,,,,,0,319417.0,2444291080.0,335986.0,2566075820.0,510665.0,3958168480.0,559668.0,4343198420.0,576752.0,4474566430.0,576752.0,4474566430.0,576752.0,4474566430.0,576752.0,4474566430.0,576752.0,4474566430.0
극장판 헬로카봇 : 백악기 시대,20186501,2018-08-01,6406152000,854230,7179,,,,,,,,,,,0,621788.0,4685180600.0,698551.0,5229411600.0,800408.0,5983860000.0,854230.0,6406152000.0,854230.0,6406152000.0,854230.0,6406152000.0,854230.0,6406152000.0,854230.0,6406152000.0,854230.0,6406152000.0
극장판 헬로카봇: 수상한 마술단의 비밀,20226670,2022-09-28,2094403018,223313,6816,79.0,장편,한국,애니메이션,최신규,이지현, 조경이,2D,디지털,전체관람가,0,93037.0,881657016.0,145986.0,1376346935.0,197794.0,1862168086.0,213585.0,2006349180.0,223313.0,2094403018.0,223313.0,2094403018.0,223313.0,2094403018.0,223313.0,2094403018.0,223313.0,2094403018.0
극장판 헬로카봇: 옴파로스 섬의 비밀,20185478,2019-01-31,4360476320,558144,7346,,,,,,,,,,,0,309600.0,2411075220.0,440236.0,3463657240.0,534680.0,4180404430.0,558144.0,4360476320.0,558144.0,4360476320.0,558144.0,4360476320.0,558144.0,4360476320.0,558144.0,4360476320.0,558144.0,4360476320.0
극적인 하룻밤,20157501,2015-12-03,2582416529,316746,4772,,,,,,,,,,,0,180126.0,1492094782.0,237722.0,1934049182.0,316746.0,2582416529.0,316746.0,2582416529.0,316746.0,2582416529.0,316746.0,2582416529.0,316746.0,2582416529.0,316746.0,2582416529.0,316746.0,2582416529.0
극한직업,20182530,2019-01-23,139565890466,16252575,60881,,,,,,,,,,,0,3139563.0,27528787550.0,3894937.0,33684719340.0,9400660.0,81410420693.0,13251266.0,114623790762.0,14764818.0,127202173896.0,15543472.0,133696227666.0,16082355.0,138121347826.0,16201246.0,139142158136.0,16252575.0,139565890466.0
글래스,20182544,2019-01-17,4246555602,462816,7495,,,,,,,,,,,0,339707.0,3127922372.0,409259.0,3722844252.0,462816.0,4246555602.0,462816.0,4246555602.0,462816.0,4246555602.0,462816.0,4246555602.0,462816.0,4246555602.0,462816.0,4246555602.0,462816.0,4246555602.0
글로리데이,20159643,2016-03-24,1411647468,179641,4855,,,,,,,,,,,1,112242.0,898274068.0,138126.0,1077397468.0,179641.0,1411647468.0,179641.0,1411647468.0,179641.0,1411647468.0,179641.0,1411647468.0,179641.0,1411647468.0,179641.0,1411647468.0,179641.0,1411647468.0
글루미 선데이,20060127,2000-10-21,102955200,12800,120,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
기기괴괴 성형수,20201687,2020-09-09,855879400,100794,4298,85.0,장편,한국,공포(호러),조경훈,문남숙, 장민혁,"2D, 4D","디지털, 4D","15세이상관람가, 15세이상관람가",1,44210.0,399292600.0,52148.0,465530300.0,77632.0,691321900.0,88496.0,788159300.0,88496.0,788159300.0,95140.0,827368100.0,99387.0,848809400.0,100794.0,855879400.0,100794.0,855879400.0
기동전사 건담 시드 프리덤,20248222,2024-04-03,126130460,9918,60,125.0,장편,일본,애니메이션,후쿠다 미츠오,호시 소이치로, 이시다 아키라,"2D, 4D, DOLBYCINEMA","디지털, 4D, DOLBYCINEMA",12세이상관람가,0,9918.0,126130460.0,9918.0,126130460.0,9918.0,126130460.0,9918.0,126130460.0,9918.0,126130460.0,9918.0,126130460.0,9918.0,126130460.0,9918.0,126130460.0,9918.0,126130460.0
기묘한 가족,20174169,2019-02-13,1989917465,245905,4210,,,,,,,,,,,0,216254.0,1758999795.0,245905.0,1989917465.0,245905.0,1989917465.0,245905.0,1989917465.0,245905.0,1989917465.0,245905.0,1989917465.0,245905.0,1989917465.0,245905.0,1989917465.0,245905.0,1989917465.0
기묘한 이야기: 리플레이,20200144,2020-08-23,1063000,1045,1,88.0,장편,미국,어드벤처,,,,2D,디지털,15세이상관람가,0,,,1045.0,1063000.0,1045.0,1063000.0,1045.0,1063000.0,1045.0,1063000.0,1045.0,1063000.0,1045.0,1063000.0,1045.0,1063000.0,1045.0,1063000.0
기방도령,20185353,2019-07-10,2294932830,282353,5320,,,,,,,,,,,0,220182.0,1816098140.0,259310.0,2121239310.0,282353.0,2294932830.0,282353.0,2294932830.0,282353.0,2294932830.0,282353.0,2294932830.0,282353.0,2294932830.0,282353.0,2294932830.0,282353.0,2294932830.0
기생수 파트1,20144621,2015-02-26,1474474685,178846,2793,,,,,,,,,,,0,91817.0,768971800.0,124430.0,1024765200.0,178846.0,1474474685.0,178846.0,1474474685.0,178846.0,1474474685.0,178846.0,1474474685.0,178846.0,1474474685.0,178846.0,1474474685.0,178846.0,1474474685.0
기생수 파트2,20158561,2015-05-07,474105359,58617,1769,,,,,,,,,,,0,44135.0,361962459.0,58617.0,474105359.0,58617.0,474105359.0,58617.0,474105359.0,58617.0,474105359.0,58617.0,474105359.0,58617.0,474105359.0,58617.0,474105359.0,58617.0,474105359.0
기생충,20183782,2019-05-30,87354331615,10300613,55205,131.0,장편,한국,드라마,봉준호,송강호, 이선균,"2D, 2D, 2D, IMAX, 흑백판","디지털, 디지털 영문자막, 디지털 가치봄, IMAX, 흑백판",15세이상관람가,0,3367064.0,29187501218.0,4524029.0,38477344698.0,7520770.0,64336362915.0,8643876.0,73976349195.0,9303868.0,79483604345.0,9663825.0,82548287105.0,9840112.0,83991451755.0,9959796.0,84872490275.0,10020361.0,85332654825.0
기술자들,20149265,2014-12-24,19707963683,2540957,5180,,,,,,,,,,,0,,,,,2336461.0,18078076483.0,2540957.0,19707963683.0,2540957.0,19707963683.0,2540957.0,19707963683.0,2540957.0,19707963683.0,2540957.0,19707963683.0,2540957.0,19707963683.0
기억의 밤,20173581,2017-11-29,10614923260,1382399,13697,,,,,,,,,,,0,569748.0,4358262825.0,684866.0,5200012425.0,1199104.0,9219968160.0,1380337.0,10601375760.0,1382399.0,10614923260.0,1382399.0,10614923260.0,1382399.0,10614923260.0,1382399.0,10614923260.0,1382399.0,10614923260.0
"기억해, 우리가 사랑한 시간",20234133,2023-10-11,73527050,8196,178,96.0,장편,중국,멜로/로맨스,,하람두, 채범희,2D,디지털,전체관람가,0,,,8196.0,73527050.0,8196.0,73527050.0,8196.0,73527050.0,8196.0,73527050.0,8196.0,73527050.0,8196.0,73527050.0,8196.0,73527050.0,8196.0,73527050.0
기적,20200474,2021-09-15,6593517210,710396,30489,116.0,장편,한국,드라마,이장훈,박정민, 이성민,"2D, 2D","디지털, 디지털 가치봄",12세이상관람가,0,10748.0,95123580.0,294533.0,2766923960.0,465326.0,4410132600.0,555298.0,5226175590.0,630026.0,5935249380.0,661938.0,6231478490.0,681301.0,6393569460.0,696146.0,6507988960.0,702845.0,6548167310.0
기적을 믿는 소녀,20226584,2023-07-05,65468300,7050,76,99.0,장편,미국,드라마,리처드 코렐,미라 소르비노, 케빈 소르보,2D,디지털,전체관람가,0,,,7050.0,65468300.0,7050.0,65468300.0,7050.0,65468300.0,7050.0,65468300.0,7050.0,65468300.0,7050.0,65468300.0,7050.0,65468300.0,7050.0,65468300.0
기적의 시작,20235145,2024-02-22,139392896,16575,514,81.0,장편,한국,다큐멘터리,권순도,임동진,,2D,디지털,12세이상관람가,1,,,16575.0,139392896.0,16575.0,139392896.0,16575.0,139392896.0,16575.0,139392896.0,16575.0,139392896.0,16575.0,139392896.0,16575.0,139392896.0,16575.0,139392896.0
길,20174644,2017-05-11,68694600,15053,72,,,,,,,,,,,1,,,,,15053.0,68694600.0,15053.0,68694600.0,15053.0,68694600.0,15053.0,68694600.0,15053.0,68694600.0,15053.0,68694600.0,15053.0,68694600.0
길위에 김대중,20235353,2024-01-10,1068022451,110919,5839,125.0,장편,한국,다큐멘터리,민환기,김대중, 김도영,"2D, 2D","디지털, 디지털 영문자막",12세이상관람가,1,58643.0,565382177.0,65322.0,628165674.0,98592.0,950603748.0,110919.0,1068022451.0,110919.0,1068022451.0,110919.0,1068022451.0,110919.0,1068022451.0,110919.0,1068022451.0,110919.0,1068022451.0
김광석,20166132,2017-08-30,654930100,82945,766,,,,,,,,,,,1,,,34664.0,277402800.0,34664.0,277402800.0,34664.0,277402800.0,62324.0,491884900.0,82945.0,654930100.0,82945.0,654930100.0,82945.0,654930100.0,82945.0,654930100.0
김복동,20190741,2019-08-08,556035730,66240,1788,,,,,,,,,,,1,29397.0,252440340.0,43713.0,365958900.0,66240.0,556035730.0,66240.0,556035730.0,66240.0,556035730.0,66240.0,556035730.0,66240.0,556035730.0,66240.0,556035730.0,66240.0,556035730.0
꼬마 보트 토토: 타요 타요 배 타요,20185599,2018-07-12,92512300,12245,271,,,,,,,,,,,1,12245.0,92512300.0,12245.0,92512300.0,12245.0,92512300.0,12245.0,92512300.0,12245.0,92512300.0,12245.0,92512300.0,12245.0,92512300.0,12245.0,92512300.0,12245.0,92512300.0
꼬마 유령,20140207,2015-06-11,106592300,14961,398,,,,,,,,,,,1,10595.0,74880900.0,10595.0,74880900.0,14961.0,106592300.0,14961.0,106592300.0,14961.0,106592300.0,14961.0,106592300.0,14961.0,106592300.0,14961.0,106592300.0,14961.0,106592300.0
꼬마 자전거 스피디,20197402,2019-10-17,58286000,7598,627,,,,,,,,,,,0,7598.0,58286000.0,7598.0,58286000.0,7598.0,58286000.0,7598.0,58286000.0,7598.0,58286000.0,7598.0,58286000.0,7598.0,58286000.0,7598.0,58286000.0,7598.0,58286000.0
꼬마돼지 베이브의 대모험,20172241,2017-06-15,158275700,21755,618,,,,,,,,,,,1,21755.0,158275700.0,21755.0,158275700.0,21755.0,158275700.0,21755.0,158275700.0,21755.0,158275700.0,21755.0,158275700.0,21755.0,158275700.0,21755.0,158275700.0,21755.0,158275700.0
꼬마돼지 베이브의 바다 대모험,20239905,2023-03-23,70915319,8101,634,76.0,장편,중국,애니메이션,종위,,,"2D, 2D","디지털, 디지털 더빙",전체관람가,0,8101.0,70915319.0,8101.0,70915319.0,8101.0,70915319.0,8101.0,70915319.0,8101.0,70915319.0,8101.0,70915319.0,8101.0,70915319.0,8101.0,70915319.0,8101.0,70915319.0
꼬마비행기 피티와 친구들:사막구출 대작전,20184514,2018-11-22,70728750,9413,416,,,,,,,,,,,0,9413.0,70728750.0,9413.0,70728750.0,9413.0,70728750.0,9413.0,70728750.0,9413.0,70728750.0,9413.0,70728750.0,9413.0,70728750.0,9413.0,70728750.0,9413.0,70728750.0
꼬마영웅 바비,20180943,2018-05-30,118415800,15094,630,,,,,,,,,,,0,15094.0,118415800.0,15094.0,118415800.0,15094.0,118415800.0,15094.0,118415800.0,15094.0,118415800.0,15094.0,118415800.0,15094.0,118415800.0,15094.0,118415800.0,15094.0,118415800.0
꼬마참새 리차드: 아프리카 원정대,20176741,2017-06-15,578352600,77737,1067,,,,,,,,,,,1,33477.0,254345600.0,33477.0,254345600.0,55525.0,417027400.0,55525.0,417027400.0,77737.0,578352600.0,77737.0,578352600.0,77737.0,578352600.0,77737.0,578352600.0,77737.0,578352600.0
꽃다발 같은 사랑을 했다,20218333,2021-07-14,234172320,24631,1370,123.0,장편,일본,멜로/로맨스,도이 노부히로,아리무라 카스미, 스다 마사키,2D,디지털,12세이상관람가,1,20806.0,197314320.0,24631.0,234172320.0,24631.0,234172320.0,24631.0,234172320.0,24631.0,234172320.0,24631.0,234172320.0,24631.0,234172320.0,24631.0,234172320.0,24631.0,234172320.0
꾸루꾸루와 친구들: 무지개 나무의 비밀,20158682,2015-11-19,39878500,5397,103,,,,,,,,,,,0,5397.0,39878500.0,5397.0,39878500.0,5397.0,39878500.0,5397.0,39878500.0,5397.0,39878500.0,5397.0,39878500.0,5397.0,39878500.0,5397.0,39878500.0,5397.0,39878500.0
꾼,20165748,2017-11-22,31287943795,4014411,25717,,,,,,,,,,,0,1689144.0,13485006848.0,1998412.0,15745147548.0,3161374.0,24607814095.0,3835792.0,29932082695.0,4014411.0,31287943795.0,4014411.0,31287943795.0,4014411.0,31287943795.0,4014411.0,31287943795.0,4014411.0,31287943795.0
꿈의 제인,20160483,2017-05-31,103793700,12652,54,,,,,,,,,,,1,,,,,12652.0,103793700.0,12652.0,103793700.0,12652.0,103793700.0,12652.0,103793700.0,12652.0,103793700.0,12652.0,103793700.0,12652.0,103793700.0
끝없음에 관하여,20217197,2021-12-16,18477050,1945,33,76.0,장편,기타,기타,로이 안데르손,,,2D,디지털,12세이상관람가,1,1945.0,18477050.0,1945.0,18477050.0,1945.0,18477050.0,1945.0,18477050.0,1945.0,18477050.0,1945.0,18477050.0,1945.0,18477050.0,1945.0,18477050.0,1945.0,18477050.0
