rnum,rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt,current_date
6,6,-1,OLD,20235735,아쿠아맨과 로스트 킹덤,2023-12-20,66982176,3.3,-10153963,-13.2,8253865784,7170,-1129,-13.6,802763,578,918,2024-01-04
7,7,0,NEW,20235583,인투 더 월드,2024-01-10,53370000,2.6,53370000,100,106940000,5898,5898,100,11713,30,30,2024-01-04
8,8,-2,OLD,20234114,괴물,2023-11-29,35140984,1.7,-5030270,-12.5,4002961321,3494,-511,-12.8,408002,196,261,2024-01-04
9,9,-1,OLD,20235596,트롤: 밴드 투게더,2023-12-20,27306092,1.4,-4813015,-15,3510237259,3119,-418,-11.8,380140,278,342,2024-01-04
10,10,-3,OLD,20234673,뽀로로 극장판 슈퍼스타 대모험,2023-12-13,27987535,1.4,-6354182,-18.5,3154801180,3051,-675,-18.1,344379,201,257,2024-01-04
1,1,0,OLD,20235834,위시,2024-01-03,832737586,34.4,192568437,30.1,2505337628,85557,16883,24.6,266089,1302,4880,2024-01-05
2,2,0,OLD,20212866,서울의 봄,2023-11-22,536930956,22.2,108512949,25.3,120104843480,53788,8429,18.6,12334280,1284,4067,2024-01-05
3,3,0,OLD,20203702,노량: 죽음의 바다,2023-12-20,497503002,20.5,82612140,19.9,38989823606,51029,6169,13.8,3949343,1407,4172,2024-01-05
4,4,0,OLD,20236146,신차원! 짱구는 못말려 더 무비 초능력 대결전 ~날아라 수제김밥~,2023-12-22,153562308,6.3,41404523,36.9,6649826613,15870,3757,31,688263,602,1049,2024-01-05
5,5,1,OLD,20235735,아쿠아맨과 로스트 킹덤,2023-12-20,91018278,3.8,24036102,35.9,8344884062,9222,2052,28.6,811985,589,917,2024-01-05
6,6,-1,OLD,20228555,더 퍼스트 슬램덩크,2023-01-04,61071229,2.5,-18588507,-23.3,50258186644,6020,-2094,-25.8,4806408,299,475,2024-01-05
7,7,1,OLD,20234114,괴물,2023-11-29,49830287,2.1,14689303,41.8,4052791608,4959,1465,41.9,412961,201,283,2024-01-05
8,8,1,OLD,20235596,트롤: 밴드 투게더,2023-12-20,33639739,1.4,6333647,23.2,3543876998,3544,425,13.6,383684,291,353,2024-01-05
9,9,2,OLD,20235253,외계+인 2부,2024-01-10,37986000,1.6,19617000,106.8,89283000,3237,1196,58.6,8382,14,14,2024-01-05
10,10,0,OLD,20234673,뽀로로 극장판 슈퍼스타 대모험,2023-12-13,26514050,1.1,-1473485,-5.3,3181315230,2759,-292,-9.6,347138,207,266,2024-01-05
1,1,0,OLD,20235834,위시,2024-01-03,1854931167,37.1,1022193581,122.8,4360268795,189447,103890,121.4,455536,1418,6046,2024-01-06
2,2,1,OLD,20203702,노량: 죽음의 바다,2023-12-20,1125698954,22.5,628195952,126.3,40115522560,113941,62912,123.3,4063284,1408,4283,2024-01-06
