Type,Title,Overview,Release Date,Popularity,Vote Average,Vote Count,Original Title,Original Language,Genres,Comedy,Action & Adventure,Animation,,Crime,TV Movie,Drama,Documentary,Horror,Music,War,Sci-Fi & Fantasy,Kids,Family,Adventure,History,Action,Thriller,Reality,Mystery,Romance,Fantasy,War & Politics,Soap,Science Fiction,Talk,Western,News
movie,Lemony Snicket's A Series of Unfortunate Events,"Three wealthy children's parents are killed in a fire. When they are sent to a distant relative, they find out that he is plotting to kill them and seize their fortune.",2004-12-16,59.958,6.818,4852.0,Lemony Snicket's A Series of Unfortunate Events,en,"Adventure, Comedy, Family",1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,
tv,Greenleaf,"The unscrupulous world of the Greenleaf family and their sprawling Memphis megachurch, where scandalous secrets and lies are as numerous as the faithful. Born of the church, the Greenleaf family love and care for each other, but beneath the surface lies a den of iniquity—greed, adultery, sibling rivalry and conflicting values—that threatens to tear apart the very core of their faith that holds them together.",,133.002,7.3,102.0,,en,Drama,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
person,Raymond Greenleaf,,,11.019,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
person,Joyce Greenleaf,,,9.727,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
person,Jim Greenleaf,,,4.956,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
person,Dana Greenleaf,,,4.556,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
person,Seth Greenleaf,,,3.994,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
person,Mace Greenleaf,,,2.09,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
person,Geoff Greenleaf,,,1.642,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
person,Geoff Greenleaf,,,1.62,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
person,Mat Greenleaf,,,1.529,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
person,Dan Greenleaf,,,1.166,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
person,Evelyn Greenleaf Sutherland,,,0.831,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
person,Dana Greenleaf,,,0.6,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
person,Chris Greenleaf,,,0.6,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
person,Fletcher Greenleaf,,,0.6,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
person,Vicki Greenleaf,,,0.6,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
person,Vince Greenleaf,,,0.6,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
person,John Greenleaf,,,0.6,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
person,Jared Greenleaf,,,0.6,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
person,Cat Greenleaf,,,0.6,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
tv,Ingobernable,"The First Lady of Mexico has big plans to improve conditions for the country. As she starts to lose faith in her husband, President Diego Nava, she finds herself at a crossroad where she will need to find a way to deal with a great challenge.",,57.759,6.1,24.0,,es,"War & Politics, Drama, Crime",,,,,1.0,,1.0,,,,,,,,,,,,,,,,1.0,,,,,
movie,Cuerpxs Perfectxs: Gordas ingobernables,"Marcela and Nataly are two women who have experienced the historical violence that has been exercised on the bodies of fat women and lesbians. Both women meet to create, to conspire, to carry out a collective action with their allies, to bring the invisibilized body of fat women into the public space.",2023-06-19,0.6,0.0,0.0,Cuerpxs Perfectxs: Gordas ingobernables,es,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
movie,Romario in Spain. Ungovernable,"The footballer who was defined by Jorge Valdano as 'from cartoons' is today one of the most respected political figures in his country. Ronald Koeman, Michael Laudrup, Jorge Valdano approach this Plus+ Report to remember the Brazilian's time in LaLiga. They and those who dealt with him the most on and off the field reviewed the mark that the Brazilian left in both Barcelona and Valencia, the two cities that enjoyed one of the greatest footballers.",2023-02-23,0.6,0.0,0.0,Romario en España. Ingobernable,es,Documentary,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
tv,The Last Kingdom,"A show of heroic deeds and epic battles with a thematic depth that embraces politics, religion, warfare, courage, love, loyalty and our universal search for identity. Combining real historical figures and events with fictional characters, it is the story of how a people combined their strength under one of the most iconic kings of history in order to reclaim their land for themselves and build a place they call home.",,520.995,8.259,1635.0,,en,"Action & Adventure, Drama, War & Politics",,1.0,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,
movie,The Last Kingdom: Seven Kings Must Die,"In the wake of King Edward's death, Uhtred of Bebbanburg and his comrades adventure across a fractured kingdom in the hopes of uniting England at last.",2023-04-14,41.764,7.2,621.0,The Last Kingdom: Seven Kings Must Die,en,"Action, Adventure, War",,,,,,,,,,,1.0,,,,1.0,,1.0,,,,,,,,,,,
movie,Bremen: The Last Magic Kingdom,"The fairy world has been shaken by the invasion of the Dark Lord. Through his servant, Rumpel, he used an inter-dimensional portal creation machine, and traveled his army of darkness to each fairy kingdom. Evil forces deprived all, but one kingdom of their magical powers. The last magic kingdom, Bremen, still stands. Cregg, the court wizard, stole the machine from Rumpel and hid it in Bremen Town's castle. There, the curious Princess Leilla discovers its existence and persuades Gevork, the last mountain elf and guardian of the machine, to turn it on. As the magical portal opens, Dave, a modern boy, is transported to the fairy world. Together, the band of unlikely heroes - Dave, Leilla, Cregg, and Gevork, journey to save the fairy worlds from the evil sorcerer.",,0.804,0.0,0.0,Бремен. Последнее волшебное королевство,en,"Animation, Comedy, Fantasy, Adventure, Family",1.0,,1.0,,,,,,,,,,,1.0,1.0,,,,,,,1.0,,,,,,
movie,The Last Lost Kingdom,"Following in the footsteps of his father, Folco Felzani embarks on an epic journey on foot in search of Mustang, the last lost kingdom, in northern Nepal. The story of a king without a kingdom. The adventure of a son without a father.",2014-06-26,0.6,0.0,0.0,The Last Lost Kingdom,en,"Documentary, Adventure",,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,
collection,The Last Kingdom Collection,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
movie,Talking to the Air: The Horses of the Last Forbidden Kingdom,"The world’s most magnificent horsemen face an unsure future in one of the planet’s last great equine cultures.  The Tibetan Buddhist region of Mustang in the High Himalaya is the Last Forbidden Kingdom and their unique heritage and remarkable spiritual bond with the horse is under threat. In a land where a man’s wealth can still be measured in horses, death defying races are the colorful back-drop for this story of the ascent of civilization in the high Himalaya. With lush cinematography, and insightful intervieww, the film also recounts the little known story of the CIA’s covert operations in Mustang, and features rare archival footage of the Dalai Lama’s flight on horseback over the Himalaya.  The scholarly and perceptive voices of Dr. Sienna Craig - author of ""Horses Like Lightning"" and Mikel Dunham, author of ""Buddha's Warriors"" turn this lens to issues of globalization, fragile border politics and the precarious future for Mustang’s distinctive equine culture.",2016-08-01,3.036,8.0,2.0,Talking to the Air: The Horses of the Last Forbidden Kingdom,en,"Documentary, History",,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,
movie,The Last Madame Butterfly,"In this sexpolitation effort, a British pilot is assaulted by a gang of hoodlums and left on the street. He's eventually taken to a hospital, where he is nursed back to health by Dr. Emy Wong, a beautiful Asian physician. As the pilot is restored to full health, he becomes increasingly infatuated with Emy.",1977-01-07,5.364,3.6,9.0,Il mondo dei sensi di Emy Wong,it,Drama,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
tv,Anne with an E,"A coming-of-age story about an outsider who, against all odds and numerous challenges, fights for love and acceptance and for her place in the world. The series centers on a young orphaned girl in the late 1890’s, who, after an abusive childhood spent in orphanages and the homes of strangers, is mistakenly sent to live with an elderly woman and her aging brother. Over time, 13-year-old Anne will transform their lives and eventually the small town in which they live with her unique spirit, fierce intellect and brilliant imagination.",,322.576,8.684,4540.0,,en,"Drama, Family",,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,
person,Julie Ann Emery,,,25.993,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
person,Annes Elwy,,,16.666,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
movie,An Intimate Evening with Anne Murray,"This concert film of Canadian songbird Anne Murray comes to DVD with a standard full-frame transfer. The English soundtrack is rendered in Dolby Digital Stereo. There are neither closed-captions nor subtitles on this release. The supplemental materials include production credits and a biography of Murray. In addition to performing her most popular hits, Murray duets with fellow Canadians Bryan Adams and Celine Dion. Murray's fans will certainly want to give this disc a look.",1998-03-13,0.6,0.0,0.0,An Intimate Evening with Anne Murray,en,Music,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
person,Ebony Jo-Ann,,,19.828,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
person,Ethlie Ann Vare,,,14.097,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
person,Elizabeth Anne Allen,,,13.062,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
person,Ann E. Todd,,,11.547,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
person,Elizabeth Ann Bennett,,,12.709,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
person,Anne Elvedal,,,8.582,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
person,Anne Edmonds,,,8.355,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
person,Ann Eleonora Jørgensen,,,10.805,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
person,Emily Ann Lloyd,,,10.711,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
person,Anne E. Curry,,,9.348,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
person,Elizabeth Anne Smith,,,9.853,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
person,Elaine Ann Hu,,,8.977,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
movie,Ann and Eve,"The story concerns the Yugoslavian holiday of two toothsome Swedish girls. One of the girls, played by Maria Liljedahl, is (metaphorically speaking) a world-champion in the promiscuity sweepstakes, bedding men (and women) in great profusion. Somehow, the movie also manages to be about film reviewers and film directors. Variety) commented '...the film's inherently good visual and physical qualities are themselves dissipated in [the director's] cynicism, ennui, and involuted intellectual mirror tricks.'",1970-08-03,3.364,4.0,2.0,Ann och Eve - de erotiska,sv,Drama,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
movie,An evening with Anne Teresa De Keersmaeker at the Opéra National de Paris,"On this repertory evening, Rosas brings together three early works by Anne Teresa De Keersmaeker. In 1986, De Keersmaeker first ventured into the terrain of contemporary classical music with Bartók's string quartet Quartet No. 4. In a choreography punctuated by both playful and combative accents, De Keersmaeker took on the task of distilling a dance score out of Bartók's complex rhythms and layered harmonies. In the Grosse Fuge (1992), De Keersmaeker sets out to find a male vocabulary, with Rosas’ dancers challenging gravity in a piece that sought to provide a physical translation of Beethoven's ingenious use of counterpoint. The final piece of the evening, Verklärte Nacht (1995), presents a shamelessly romantic love story, in which the contrasting feelings of a man and a woman are dissected and interpreted in an expressive duet based on Schönberg's eponymous musical score.",2015-10-21,0.857,0.0,0.0,An evening with Anne Teresa De Keersmaeker at the Opéra National de Paris,en,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
person,Anne-Elisabeth Blateau,,,8.545,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
person,Eli Anne Linnestad,,,6.88,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
tv,El Chapo,"A look at the life of notorious drug kingpin, El Chapo, from his early days in the 1980s working for the Guadalajara Cartel, to his rise to power of during the '90s and his ultimate downfall in 2016.",,131.022,7.505,1542.0,,es,"Drama, Crime",,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,
movie,Is This El Chapo?,"On February 22, 2014, Mexican marines arrested Chapo Guzman in Mazatlan, MX... But did they?",2014-08-29,1.42,4.5,3.0,¿Es El Chapo?,en,Documentary,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
tv,The Day I Met El Chapo: The Kate del Castillo Story,"Mexican superstar actress Kate del Castillo reveals the untold story of her encounter with El Chapo Guzmán, the world’s most-wanted drug lord.",,43.982,5.9,14.0,,en,Documentary,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
movie,El Chapo's Escape,"They claim to be taken to maximum security prisons, but when government power and corruption intervene there is no impossible escape, such is the case of this story that everyone witnessed and that we now present.",2001-07-16,2.513,3.5,2.0,La Fuga del Chapo,es,"Action, Crime, Thriller",,,,,1.0,,,,,,,,,,,,1.0,1.0,,,,,,,,,,
movie,Chapo: El Escape Del Siglo,A famous drug kingpin escapes from prison. The mexican president wants him back in jail whereas the U.S. government wants him dead.,2016-01-15,9.861,5.3,30.0,Chapo: El Escape Del Siglo,es,"Thriller, Action, Adventure, Crime",,,,,1.0,,,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,
tv,Uppdrag granskning: I skuggan av El Chapo,,,5.415,0.0,0.0,,sv,Documentary,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
tv,El Chapulín Colorado,,,194.995,7.996,677.0,,es,"Comedy, Family, Crime, Sci-Fi & Fantasy, Mystery",1.0,,,,1.0,,,,,,,1.0,,1.0,,,,,,1.0,,,,,,,,
movie,The Rise and Fall of El Chapo,"A study of the life and career of Mexican drug-cartel kingpin Joaquin ""El Chapo"" Guzman.",2016-07-24,3.871,7.0,3.0,The Rise and Fall of El Chapo,en,Documentary,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
movie,El Chapo & Sean Penn: Bungle in the Jungle,"El Chapo & Sean Penn: Bungle in the Jungle is a behind-the-scenes look inside that ill-fated rendezvous among Penn, El Chapo and actress Kate Del Castillo and will reveal who orchestrated the meeting and the identities of the two mystery men traveling with Penn. Plus, find out the shocking details behind Penn’s widely criticized Rolling Stone article and what the real motive was for Castillo to set up a meeting that could have led to both her and Penn’s deaths.",2016-03-10,1.382,4.8,6.0,El Chapo & Sean Penn: Bungle in the Jungle,en,Documentary,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
movie,El Chapo and the Curse of the Pirate Zombies,"A sexy soap opera actress, a Hollywood movie star, a has-been tabloid journalist, a Mafia Boss and a drug lord fight zombie pirates.",,1.912,3.5,2.0,El Chapo and the Curse of the Pirate Zombies,en,"Horror, Comedy",1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
movie,Edwin Rosario : The Rise & Fall of El Chapo,"A look back at Edwin Rosario, one of boxing's premiere knockout artists in the 1980s. Rosario rose from one of the poorest barrios in Puerto Rico to the top of the boxing world in the mid-1980s which culminated in a superfight with Hector Camacho.",2021-01-01,0.6,0.0,0.0,Edwin Rosario : The Rise & Fall of El Chapo,en,Documentary,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
tv,El Chapulín Colorado animado,,,24.276,7.4,8.0,,es,Animation,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
movie,The CEO of Sinaloa,"The CEO of Sinaloa takes an objective, in-depth, and original approach to the story of Joaquín ""El Chapo"" Guzmán, the head of a violent, criminal drug empire known as the Sinaloa Cartel. We tell the story through a business lens, breaking down the business models used by the Sinaloa Cartel to become one of the wealthiest organizations on the planet. Our film will focus on cartel strategies in terms of distribution, accounting, branding, mergers and acquisitions, human resources, termination, and of course - product. But we will never lose sight of the terrible violence this organization employed to reach its success.",2021-10-21,2.22,0.0,0.0,The CEO of Sinaloa,en,"Documentary, Crime",,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,
movie,Drug Lord: The Legend of Shorty,The Legend of Shorty is the story of a man and a myth,2014-03-07,0.707,6.5,8.0,Drug Lord: The Legend of Shorty,en,Documentary,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
tv,Free Rein,"A 15-year-old from LA spends the summer at her mom's childhood home on an island off the coast of England, where she bonds with a mysterious horse.",,52.005,7.8,188.0,,en,"Family, Kids, Drama",,,,,,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,
movie,Free Rein: Valentine's Day,"Love is in the air as Zoe and friends go on a quest to find a fabled Maid's Stone. But when rivalry blinds them to danger, it's Raven to the rescue!",2019-02-01,8.513,7.4,61.0,Free Rein: Valentine's Day,en,"Romance, Family",,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,
movie,Free Rein: The Twelve Neighs of Christmas,"As Bright Fields preps for its Mistletoe Ball, a broken ornament leads Zoe to a family secret, while Gaby finds herself at the mercy of new boss Mia.",2018-12-07,10.763,6.8,102.0,Free Rein: The Twelve Neighs of Christmas,en,"Comedy, Drama, Family",1.0,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,
movie,Free Reins,"Free Reins is the emotional story of a 63 year-old maverick, Patty McGill the diverse group of kids, families and volunteers who participate in an unconventional brand of equine assisted therapy at Hinchinbrook Farm.",2017-02-23,1.96,9.0,2.0,Free Reins,en,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
movie,Vasily Shukshin. I've Come to Give you Free Rein,"A television documentary dedicated to the anniversary date – the 90th anniversary of the birth of actor, director, screenwriter, writer Vasily Shukshin. ""I came to give you Free Rein"" is a novel by Shukshin about Stepan Razin, which he dreamed of making into a film. But they didn't give it to him. The film tells in detail about the tragedy of the artist, who for many years fought for his idea, but turned out to be doomed…",2019-03-01,0.6,0.0,0.0,Василий Шукшин. Я пришёл дать вам волю,ru,Documentary,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
tv,Gypsy,The journey of Jean Holloway – a therapist who begins to develop dangerous and intimate relationships with the people in her patients' lives.,,80.772,6.5,179.0,,en,Drama,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
movie,Gypsy,"Ambitious stage mother Rose wants desperately for her daughter, June, to become the vaudeville star she never was. With the help of savvy but kind-hearted agent Herbie, Rose realizes her aspirations for June, but when her star rebelliously elopes, June's shy sister, Louise, reluctantly steps into the spotlight, transforming herself into the legendary burlesque star Gypsy Rose Lee.",1993-12-12,16.817,6.5,29.0,Gypsy,en,"TV Movie, Comedy, Drama, Music",1.0,,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,
movie,Gypsy,"Mama Rose lives to see her daughter June succeed on Broadway by way of vaudeville. When June marries and leaves, Rose turns her hope and attention to her elder, less obviously talented, daughter Louise. However, having her headlining as a stripper at Minsky's Burlesque is not what she initially has in mind.",1962-11-01,17.304,6.2,67.0,Gypsy,en,"Comedy, Drama, Music",1.0,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,
movie,Gypsy,"An ex-soldier saves wild horses from being slaughtered and helps protect a desert ""freedom school"" for runaway.",1990-10-12,3.519,1.5,2.0,Gypsy,en,Action,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
movie,Gypsy,"Gypsy's mother Rose dreams of a life in show business for her daughters, but Louise becomes a huge burlesque star. Stage musical loosely based on the memoirs of Gypsy Rose Lee.",2015-12-27,2.726,7.9,12.0,Gypsy,en,"Comedy, Drama",1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
person,Gypsy,,,0.6,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
movie,Gypsy,"A young gay man named Jacob is fed up with this world. After meeting a gypsy on her way named Saraghina, she will decide to explore a new life free from bondage and will meet many people who will take her to explore twists and turns never imagined.",2014-04-05,0.6,1.0,1.0,Gypsy,en,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
tv,The Gypsy Bride,"Set in the heart of the Spanish Romani community, the fiction follows police inspector Elena Blanco and her team, as they try to crack the crime case pertaining to the murders of sisters Lara and Susana Macaya, separated by a 7-year gap.",,108.603,6.4,21.0,,es,"Crime, Mystery, Drama",,,,,1.0,,1.0,,,,,,,,,,,,,1.0,,,,,,,,
tv,My Big Fat Gypsy Wedding,"Big Fat Gypsy Weddings is a British documentary series broadcast on Channel 4, that explores the lives and traditions of several Irish Traveller families as they prepare to unite one of their number in marriage. The series also featured Romanichal in several episodes, and has been criticised for not accurately representing England’s Romani and Travelling community. It was first broadcast in February 2010 as a one-off documentary called My Big Fat Gypsy Wedding, filmed as part of the Cutting Edge series and voted Most Groundbreaking Show in the Cultural Diversity Awards 2010. A series of 5 episodes were later commissioned, and the series first aired in January 2011. A second series began airing in February 2012. A third series was not made, rather the show ended with six stand-alone specials.",,46.185,5.3,12.0,,en,"Documentary, Reality",,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,
person,Gypsy Rose Lee,,,11.659,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
tv,Kingdom of Gypsys,The world of Roma and their daily lives and rituals.,,16.231,6.0,1.0,,ar,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
tv,Tyson Fury: The Gypsy King,"Tyson Fury: The Gypsy King offers exclusive, behind-the-scenes access to one of sports most flamboyant and controversial characters Tyson Fury and his larger than life family. Giving viewers an unprecedented insight into the life of one of the most fascinating and controversial figures in British sport.",,6.688,7.3,3.0,,en,"Reality, Documentary",,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,
person,Gypsy-Rose Blanchard-Anderson,,,6.316,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
person,"James ""Gypsy"" Haake",,,4.663,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
person,Gypsy Boots,,,2.366,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
person,Ghost Gypsy,,,1.932,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
person,Gypsy Abbott,,,1.816,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
movie,The Gypsy,"Two thieves, Hugo Sennart and Yan Kuq, wanted by the same police inspector, cross paths by chance.",1975-12-05,13.039,6.338,37.0,Le Gitan,fr,"Drama, Thriller",,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,
person,Gypsy Taylor,,,1.413,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
person,Gypsy Dorney,,,1.4,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
tv,Orange Is the New Black,"A crime she committed in her youthful past sends Piper Chapman to a women's prison, where she trades her comfortable New York life for one of unexpected camaraderie and conflict in an eccentric group of fellow inmates.",,1013.676,7.671,2356.0,,en,"Comedy, Drama",1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
movie,Orange Is the New Black – Unraveled,"To promote the start of season five, Špela Čadež summarises the first four seasons of the legendary US comedy drama show for Netflix. From the streaming provider’s logo to the canteen food through to vomit – Čadež “unravels” her condensed version of the stories from the women’s prison in soft and scratchy wool, yellow as urine and red as blood.",2017-11-09,1.347,0.0,0.0,Orange Is the New Black – Unraveled,en,Animation,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
tv,Designated Survivor,"Tom Kirkman, a low-level cabinet member is suddenly appointed President of the United States after a catastrophic attack during the State of the Union kills everyone above him in the Presidential line of succession.",,823.65,7.147,878.0,,en,"Drama, War & Politics",,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,
tv,Designated Survivor: 60 Days,"An explosion at the National Assembly kills everyone in the cabinet, leaving Park Mu-jin, the Minister of Environment, to become the next president. Park Mu-jin is a scientist-turned-politician who has no ambitions in politics, but as the acting president for 60 days, he is compelled to investigate the truth behind the attack. Based on the popular American series, Designated Survivor.",,59.214,7.7,31.0,,ko,"Drama, Crime, Mystery, War & Politics",,,,,1.0,,1.0,,,,,,,,,,,,,1.0,,,1.0,,,,,
tv,Fuller House,"D.J. Tanner-Fuller is a widow and mother of three. Things become too much to handle, so she asks for help from her sister Stephanie and her best-friend Kimmy.",,109.996,7.476,521.0,,en,"Family, Comedy",1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
tv,Narcos,A gritty chronicle of the war against Colombia's infamously violent and powerful drug cartels.,,574.983,8.016,2685.0,,en,"Crime, Drama",,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,
movie,Narcos,Three drug traffickers become worried when the realize they may have outlived their usefulness to their boss.,1992-05-21,9.462,7.4,12.0,Narcos,it,Drama,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
tv,Narco-Saints,An ordinary entrepreneur joins a secret government mission to capture a Korean drug lord operating in South America.,,71.073,7.756,129.0,,ko,"Crime, Drama",,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,
tv,Narcos: Mexico,See the rise of the Guadalajara Cartel as an American DEA agent learns the danger of targeting narcos in 1980s Mexico.,,112.252,7.93,1249.0,,en,"Drama, Crime",,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,
tv,The Narcosatanist,,,6.679,6.759,29.0,,es,"Documentary, Crime, Drama",,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,
person,Noyz Narcos,,,7.547,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
tv,La Línea: Shadow of Narco,"Go inside La Línea, the Spanish beach town turned into Europe's drug trafficking hub, and meet the law enforcement officials determined to change that.",,27.042,6.7,96.0,,es,"Documentary, Crime",,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,
tv,Narcotics Heroes,"Against the backdrop of neon lights in Hong Kong, there is a hidden dark side that nobody knows - the city is the hub of narcotics from all over the world. Rewind ten years and Narcotics Bureau has apprehended Man Wah, aka Drug Lord",,40.967,10.0,1.0,,cn,"Crime, Drama",,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,
movie,Yam Narcos,An ordinary person living their life gets swept up in the dangerous world of yam trading.,2019-12-10,0.6,0.0,0.0,Yam Narcos,en,"Comedy, Action, Drama",1.0,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,
movie,Narcosis,"A woman and her two young children struggle for answers and shared closure after their husband and father, a professional cave diver, doesn't return from an expedition.",2022-09-24,10.733,6.4,9.0,Narcosis,nl,"Drama, Mystery, Romance",,,,,,,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,
tv,Dublin Narcos,"Over the 1980s and 1990s Dublin transformed from a recession-blighted backwater to one of the wealthiest cities in Europe. As its fortunes changed so did those of its criminals, who began selling heroin, ecstasy and cocaine. Dublin Narcos tells the story of the rise in addiction, violence and organised crime which persists to this day, with first hand testimony from the kingpins and cops to the ravers and users. We also hear from the fearless journalists whose attempts at exposing the drugs barons led to the death of one of their bravest, Veronica Guerin.",,6.163,8.5,2.0,,en,"Documentary, Crime",,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,
movie,Narcosatánicos Diabólicos,"Roberto makes a pact with the devil to please his multiple lovers sexually, Satan accepts the deal but promises to snatch his soul when he finds true love. Meanwhile, two cops are on the lookout for those responsible of a murderous drug on the streets.",1991-03-07,9.108,6.9,53.0,Narcosatánicos Diabólicos,es,"Horror, Comedy",1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
tv,Narcoworld: Dope Stories,Documentary series that follows police officers as they hunt out drug smugglers around the world,,4.919,7.4,8.0,,fr,"Documentary, Crime",,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,
tv,Meet the Drug Lords: Inside the Real Narcos,"Ex-Special Forces soldier Jason Fox used to hunt drug lords for a living. Now, he heads unarmed into the heart of Latin America's billion-dollar cartels.",,11.656,8.3,6.0,,en,Documentary,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
