Title,Available Globally?,Release Date,Hours Viewed,Number of Ratings,Rating,Genre,Key Words,Description,Type,release_date_parsed,Korea,Title_Korea,Type_New
Private Eye // 그림자 살인,No,2017-03-16,500000.0,1943.0,5.7,"Drama, Horror, Mystery",dream,A covert team of immortal mercenaries is suddenly exposed and must now fight to keep their identity a secret just as an unexpected new member is discovered.,Movie,2017-03-16,1,그림자 살인,Movie
I'm not a robot: Season 1 // 로봇이 아니야: 시즌1,No,2020-12-31,300000.0,50326.0,5.7,"Animation, Short, Horror","gay teenager,female protagonist,gay character,gay friend,gay","Australian comic Hannah Gadsby reshapes standard stand-up by pairing punchlines with personal revelations on gender, sexuality and childhood turmoil.",TV Show,2020-12-31,1,로봇이 아니야: 시즌1,TV Show
Confession // 자백,No,2018-06-22,200000.0,20902.0,5.7,Comedy,"1980s,roman numeral in title,2d animation,hand drawn animation,traditional animation","Nadia feels conflicted about whether or not to see her long distance boyfriend, Guzmán, when she returns to Spain for her sister&apos;s wedding.",Movie,2018-06-22,1,자백,Movie
Welcome to Wedding Hell: Season 1 // 결혼백서: 시즌 1,Yes,2020-07-17,100000.0,27962.0,5.7,"Musical, Comedy, Short","sequel,robot,giant robot,mecha,mount fuji","Girl Luba had a dream. She, the daughter of a chess king in a fairyland, became the victim of a cunning political conspiracy of two cards - the Peak Jack Krivello and the Cross Dame Dvuliche.",TV Show,2020-07-17,1,결혼백서: 시즌 1,TV Show
Live: Season 1 // 라이브: 시즌 1,No,2022-02-09,100000.0,2268.0,5.7,"Action, Sci-Fi, Thriller","serial killer,father son relationship,superhero,serial murder,serial killer m.o.",This short chronicles Abraham Lincoln&apos;s presidency from his inauguration through delivery of the Gettysburg Address.,TV Show,2022-02-09,1,라이브: 시즌 1,TV Show
Untouchable Lawmen // 치외법권,No,2020-02-28,100000.0,5216.0,5.7,"Crime, Horror, Mystery","department store,toy comes to life,surrealism,mirror,merrie melodies","Richard Hunter, a promising young lawyer at a prestigious firm, has the perfect future mapped out. However, a costly mistake with a powerful client has put it all at risk. In a desperate attempt to save his job, Richard and his wi...",Movie,2020-02-28,1,치외법권,Movie
A Millionaire's First Love // 백만장자의 첫사랑,No,2019-09-27,100000.0,42618.0,5.7,Short,"school shooting,mourning,animated short,husband wife relationship,black cat",Four African-American vets battle the forces of man and nature when they return to Vietnam seeking the remains of their fallen squad leader and the gold fortune he helped them hide.,Movie,2019-09-27,1,백만장자의 첫사랑,Movie
Casa Amor Exclusive For Ladies // 워킹걸,No,0,0.0,50326.0,5.7,"Comedy, Drama, Romance","brazilian comedian,brazilian stand up comedy,female comedian,tv special,stand up comedy","A woman lands a dream job at a powerful tech company called the Circle, only to uncover an agenda that will affect the lives of all of humanity.",Movie,,1,워킹걸,Movie
Forbidden Dream // 천문: 하늘에 묻는다,No,0,0.0,5383.0,5.7,Drama,0,"In the heart of America&apos;s opioid epidemic, four men attempt to reinvent their lives and reenter society sober after years of drug abuse. Recovery Boys, from Academy Award nominated director Elaine McMillion Sheldon (Heroin(e)), is...",Movie,,1,천문: 하늘에 묻는다,Movie
Hope // 소원,No,0,0.0,14277.0,5.7,"Documentary, Biography, Sport",0,"Joel Kim Booster&apos;s first Netflix comedy special, talking about the cultural nuances of being Asian as he gets older and much more.",Movie,,1,소원,Movie
Kids Are Fine // 아이들은 즐겁다,No,0,0.0,87.0,5.7,"Documentary, Sport",0,A Mesoamerican warrior princess embarks on a quest to recruit three legendary fighters to help save the world of gods and humankind.,Movie,,1,아이들은 즐겁다,Movie
Marrying the Mafia 2 // 가문의 위기 - 가문의 영광 2,No,0,0.0,13046.0,5.7,"Crime, Drama, Thriller",0,"A college student moonlighting as a chauffeur picks up two mysterious women for a night of party-hopping across LA. But when he uncovers their bloodthirsty intentions - and their dangerous, shadowy underworld - he must fight to st...",Movie,,1,가문의 위기 - 가문의 영광 2,Movie
Extreme Job // 극한직업,No,2023-02-22,139300000.0,1116.0,5.6,"Documentary, Music","christmas,jiffy pop,vending machine,coca cola,christmas tree","Ava is a deadly assassin who works for a black ops organization, traveling the globe specializing in high profile hits. When a job goes dangerously wrong she is forced to fight for her own survival.",Movie,2023-02-22,1,극한직업,Movie
JUNG_E // 정이,Yes,2023-05-26,33400000.0,2532.0,5.6,"Comedy, Romance","gang,gangster,assassin,fight,elite",This Sportscope short features the sport of kayaking. Participants ride river rapids and show their skill as they maneuver through special &apos;water slalom&apos; courses.,Movie,2023-05-26,1,정이,Movie
Miracle in Cell No.7 // 7번방의 선물,No,2020-03-27,23700000.0,79.0,5.6,"Biography, Comedy, Drama","okavango delta,okavango,island,survival,creature","Naima is 16 and lives in Cannes. She has given herself the summer to choose what she wants to do with her life. Then her cousin Sofia, with her alluring lifestyle, arrives to spend the holidays with her.",Movie,2020-03-27,1,7번방의 선물,Movie
Itaewon Class: Season 1 // 이태원 클라쓰: 시즌 1,Yes,2023-05-17,18600000.0,11662.0,5.6,"Drama, Thriller","nature documentary,wilderness,five word series title,animal in series title","After being double-crossed and left for dead, a mysterious man named Walker single-mindedly tries to retrieve the money that was stolen from him.",TV Show,2023-05-17,1,이태원 클라쓰: 시즌 1,TV Show
Oh My Venus: Season 1 // 오 마이 비너스: 시즌1,No,2021-07-23,16200000.0,1578.0,5.6,"Drama, Horror, Thriller","year in title,2010s,1990s,2000s,number in title","An urgent phone call pulls a Yale Law student back to his Ohio hometown, where he reflects on three generations of family history and his own future.",TV Show,2021-07-23,1,오 마이 비너스: 시즌1,TV Show
Love (ft. Marriage and Divorce): Season 1 // 결혼작사 이혼작곡: 시즌 1,Yes,2022-10-07,8600000.0,340.0,5.6,Documentary,"rape,vigilante,rape and murder,murder,revenge","While examining the influence of the fast food industry, Morgan Spurlock personally explores the consequences on his health of a diet of solely McDonald&apos;s food for one month.",TV Show,2022-10-07,1,결혼작사 이혼작곡: 시즌 1,TV Show
Something in the Rain: Season 1 // 밥 잘 사주는 예쁜 누나: 시즌 1,Yes,2021-01-06,7600000.0,13614.0,5.6,"Horror, Mystery, Thriller","miyamoto usagi character,based on comic book,samurai,furry,feudal japan","A woman lands a dream job at a powerful tech company called the Circle, only to uncover an agenda that will affect the lives of all of humanity.",TV Show,2021-01-06,1,밥 잘 사주는 예쁜 누나: 시즌 1,TV Show
