movieCd,movieNm,showTm,prdtYear,openDt,prdtStatNm,typeNm,nationNm,genreNm,director,actor,showTypeGroupNm,showTypeNm,audits
20197617,정글북: 마법 원정대,80,2015,20190321,개봉,장편,러시아,애니메이션,막심 파디브,,"2D, 2D","디지털, 디지털 더빙",전체관람가
20197987,더 길티,88,2018,20190327,개봉,장편,덴마크,스릴러,구스타브 몰러,야곱 세데르그렌,2D,디지털,12세이상관람가
20197092,로망,111,2019,20190403,개봉,장편,한국,멜로/로맨스,이창근,"이순재, 정영숙, 조한철, 배해선, 이예원, 진선규, 여무영, 조아인, 김기천, 박보경, 이규형, 임철수, 진선규, 전유경, 오명신, 손정원, 김민기, 안지혜, 김선욱, 옥주리, 이성현, 김희진, 김종원, 이승준, 고규필, 김영경, 김도은, 김세원, 정우석, 김윤주, 황춘하","2D, 2D","디지털, 디지털 가치봄",전체관람가
20185352,어스,116,2019,20190327,개봉,장편,미국,공포(호러),조던 필,"루피타 뇽오, 윈스턴 듀크, 엘리자베스 모스, 팀 헤이데커, 야히아 압둘 마틴 2세, 애나 디옵, 에반 알렉스, 샤하디 라이트 조셉, 매디슨 커리, 칼리 쉘든, 노엘 쉘든, 카라 헤이워드","2D, IMAX","디지털, IMAX",15세이상관람가
20196025,덤보,111,2018,20190327,개봉,장편,미국,가족,팀 버튼,"콜린 파렐, 마이클 키튼, 대니 드비토, 에바 그린","2D, 2D, 4D, 4D, IMAX, IMAX","디지털, 디지털 더빙, 4D 더빙, 4D, IMAX, IMAX 더빙",전체관람가
20166301,썬키스 패밀리,105,2017,20190327,개봉,장편,한국,가족,김지혜,"박희순, 진경, 황우슬혜, 장성범, 윤보라, 이고은, 정상훈, 황우슬혜, 임한빈, 이주실, 김혜지, 노지유, 하은진, 함성민, 이준익, 강민, 박준철, 김민경, 김범우, 윤지민, 강주하, 경기현, 김요셉, 노강민, 유지완, 천용산, 신창호, 최성은, 박인, 최찬호, 전윤철, 석보배, 성근우, 성주환, 소준형, 허민아",2D,디지털,15세이상관람가
20198146,콜레트,112,2018,20190327,개봉,장편,영국,드라마,워시 웨스트모어랜드,"키이라 나이틀리, 도미닉 웨스트, 엘리너 톰린슨",2D,디지털,15세이상관람가
20198403,파이브 피트,116,2019,20190410,개봉,장편,미국,드라마,저스틴 밸도니,"콜 스프로즈, 헤일리 루 리차드슨, 클레어 폴라니, 파민더 나그라, 모이세스 아리아스",2D,디지털,15세이상관람가
20197552,출동! 도토리 구조대,82,2015,20190328,개봉,장편,미국,애니메이션,로스 베노커,,"2D, 2D","디지털, 디지털 더빙",전체관람가
20180825,미성년,95,2018,20190411,개봉,장편,한국,드라마,김윤석,"염정아, 김소진, 김혜준, 박세진, 김윤석, 김희원, 이희준, 염혜란, 이정은, 정종준, 이상희, 미람, 김혜윤, 정이랑, 전수빈, 우민규, 김대우, 곽재훈, 손유리, 박예림, 차상미, 권유나, 손가현, 전승유, 박중신, 유창한, 박화영, 서병철, 성도현, 신치영, 신하준, 유미진, 유순웅, 여이레, 김현석, 김현숙, 이상홍, 곽나연, 허다정, 이준하, 이지성, 홍희자, 황동욱, 김종윤, 김종한, 황재열, 정기욱, 김영주, 이명하, 김왕도, 주재윤, 이윤재, 송은정","2D, 2D","디지털, 디지털 가치봄",15세이상관람가
20196244,샤잠!,131,2019,20190403,개봉,장편,미국,액션,데이비드 F. 샌드버그,"제커리 리바이, 애셔 앤젤, 잭 딜런 그레이저, 마크 스트롱","2D, 3D, 4D, IMAX, IMAX, ScreenX","디지털, 3D 디지털, 4D, IMAX, IMAX 3D, ScreenX","12세이상관람가, 12세이상관람가"
20198104,바이스,132,2018,20190411,개봉,장편,미국,드라마,아담 맥케이,"크리스찬 베일, 에이미 아담스, 스티브 카렐, 타일러 페리, 샘 록웰",2D,디지털,15세이상관람가
20199814,킹 오브 프리즘 –샤이니 세븐 스타즈- II 카케루x조지x미나토,70,2019,20190404,개봉,장편,일본,애니메이션,히시다 마사카즈,,2D,디지털,12세이상관람가
20198043,아픈 만큼 사랑한다,86,2019,20190403,개봉,장편,한국,다큐멘터리,임준현,"박누가, 추상미, 김주희, 이규석, 김정옥",2D,디지털,전체관람가
20198023,고릴라와 슈퍼레이스,77,2017,20190403,개봉,장편,노르웨이,애니메이션,라스무스 A. 실버르센,,2D,디지털 더빙,전체관람가
20188393,"다시, 봄",104,2018,20190417,개봉,장편,한국,드라마,정용주,"이청아, 홍종현, 박지빈, 김주령, 박경혜, 오현중, 박소이, 이혜란, 박지일, 김영재, 방은진, 김민상, 김영재, 김인권, 이윤지, 박성준, 김노진, 문호용, 서예주, 하은, 신용훈, 최레미, 유준서, 위장건, 변상대, 강성철, 동효회, 김가람, 김가람, 김건, 김그림, 서정우, 설찬미, 유병선, 유병선, 유수정, 유희제, 김서린, 김수민, 김은희, 최성민, 정형석, 김정현, 홍지은, 김슬기, 김주아, 정다은, 조한나, 주종혁, 최혜지, 김민채, 이동훈, 이문희, 김용, 조민희, 이윤지, 안치욱, 최무인, 김진영, 배소영, 최형, 황예슬, 한태형, 박혜영",2D,디지털,12세이상관람가
20185406,헬보이,120,2019,20190410,개봉,장편,미국,액션,닐 마샬,"데이빗 하버, 밀라 요보비치, 이안 맥쉐인, 대니얼 대 킴","2D, 4D","디지털, 4D",청소년관람불가
20197423,공포의 묘지,100,2018,20190410,개봉,장편,미국,공포(호러),케빈 콜쉬,"제이슨 클락, 존 리스고, 에이미 세이메츠","2D, 4D","디지털, 4D",15세이상관람가
20198844,아이 엠 마더,101,2018,20190411,개봉,장편,미국,액션,피에르 모렐,"제니퍼 가너, 존 갤러거 주니어",2D,디지털,15세이상관람가
