rnum,rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt,current_date,showTm,prdtYear,prdtStatNm,typeNm,nationNm,genreNm,director,actor,showTypeGroupNm,showTypeNm,audits
1,1,0,OLD,20203702,노량: 죽음의 바다,2023-12-20,657033879,33.9,-2236475286,-77.3,37583151984,70990,-219727,-75.6,3799840,1663,5285,2024-01-02,152,2022,개봉,장편,한국,사극,김한민,"김윤석, 백윤식, 정재영, 허준호, 김성규, 이규형, 이무생, 최덕문, 안보현, 박명훈, 박훈, 문정희, 정기섭, 유성주, 안성봉, 안세호, 이성욱, 오누리, 주석태, 최광제, 최정태, 김중희, 안성기, 여진구, 이제훈, 박용우, 김민상, 공명, 남명렬, 남경읍, 배한성, 김재영, 최단비, 송요셉, 김효민, 강성락, 이건록, 노형원, 임일규, 허재호, 한우진, 이재한, 강신구, 이태형, 김형석, 최돈학, 이지영, 이상호, 전운종, 한대훈, 정대경, 고해성, 남상우, 정영록, 이재우, 고기영, 문바롬, 이동희, 김용준, 손대민, 윤상영, 박형준, 이규탁, 김범수, 박상원, 진범일, 서한돌, 조성국, 이시안, 서대건, 정시훈, 김시우, 김준석, 박성현, 김형록, 황성웅, 위민국, 이민수, 김진형, 윤현승, 남태우, 우혁, 김무섭, 구본혁, 채강, 채원우, 김동환, 한재학, 정동근, 지상우, 송치훈, 김태응, 강민태, 박웅선, 강수호, 박현욱, 김서준, 황재운, 이웅규, 박범규, 김시국, 서현재, 김백겸, 공지삵, 강태우, 이승헌, 함진성, 이동현, 이원희, 박누가, 손수호, 최기표, 황민혁, 정하영, 신형근, 정유준, 서정민, 정민혁, 김태훈, 정종훈, 김서빈, 조현수, 윤영진, 하영진, 정민철, 김명수, 양동혁, 박성현, 정승현, 백경선, 임성민, 엄기영, 박인국, 유명환, 김민수, 오영철, 최지현, 오동훈, 윤혁진, 민주호, 김동형, 이창균, 김경훈, 김진욱, 홍기주, 이종섭, 오창후, 허재욱, 박상준, 허태경, 안준호, 조재현, 최지환, 문형돈, 오지훈, 이시헌, 박원진, 한지은, 신재영, 송광주, 장루이, 현서영, 신치영, 황민형, 김한상, 장유화, 연원모, 김지안, 석예린, 권지희, 문정환, 변봉식, 박광복, 박선애","2D, 2D, 2D, 4D, IMAX, ScreenX, DOLBYCINEMA","디지털, 디지털 한글자막 CC, 디지털 가치봄, 4D, IMAX, ScreenX, DOLBYCINEMA",12세이상관람가
2,2,0,OLD,20212866,서울의 봄,2023-11-22,645476622,33.3,-2020952515,-75.8,118662397169,67766,-194656,-74.2,12184967,1467,4820,2024-01-02,141,2022,개봉,장편,한국,드라마,김성수,"황정민, 정우성, 이성민, 박해준, 김성균, 김의성, 정동환, 안내상, 유성주, 최병모, 박훈, 이재윤, 김성오, 남윤호, 홍서준, 안세호, 정형석, 박정학, 박원상, 박민이, 염동헌, 전진기, 차래형, 공재민, 권혁, 한창현, 송영근, 전수지, 서광재, 임철형, 현봉식, 곽자형, 전운종, 이승희, 김기무, 문성복, 김옥주, 박정표, 곽진석, 한규원, 우미화, 차건우, 최원경, 정만식, 정해인, 이준혁, 이귀우, 우아름, 김지원, 최기동, 양영문","2D, 2D, 2D, IMAX","디지털, 디지털 한글자막 CC, 디지털 가치봄, IMAX",12세이상관람가
3,3,0,OLD,20236146,신차원! 짱구는 못말려 더 무비 초능력 대결전 ~날아라 수제김밥~,2023-12-22,178944713,9.2,-386472607,-68.4,6250689722,19367,-38872,-66.7,645875,711,1376,2024-01-02,94,2023,개봉,장편,일본,애니메이션,오네 히토시,,"2D, 2D, 2D","디지털, 디지털 한글자막 CC, 디지털 더빙",전체관람가
4,4,0,OLD,20235735,아쿠아맨과 로스트 킹덤,2023-12-20,142162716,7.3,-365822265,-72.0,8109747469,14940,-34428,-69.7,787294,812,1559,2024-01-02,123,2023,개봉,장편,미국,액션,제임스 완,"제이슨 모모아, 패트릭 윌슨, 야히아 압둘 마틴 2세, 앰버 허드, 니콜 키드먼","2D, 4D, IMAX, ScreenX, DOLBYCINEMA","디지털, 4D, IMAX, ScreenX, DOLBYCINEMA",12세이상관람가
5,5,0,OLD,20235596,트롤: 밴드 투게더,2023-12-20,67630105,3.5,-205908649,-75.3,3450812060,7557,-21431,-73.9,373484,478,651,2024-01-02,91,2023,개봉,장편,미국,애니메이션,월트 도른,"안나 켄드릭, 저스틴 팀버레이크, 주이 디샤넬, 에이미 슈머, 앤드류 라넬스","2D, 2D, 4D, 4D, DOLBYCINEMA","디지털, 디지털 더빙, 4D 더빙, 4D, DOLBYCINEMA",전체관람가
6,6,0,OLD,20234673,뽀로로 극장판 슈퍼스타 대모험,2023-12-13,45552045,2.4,-68128542,-59.9,3092471928,4826,-6760,-58.3,337602,245,315,2024-01-02,77,2023,개봉,장편,한국,애니메이션,윤제완,"이선, 이미자, 함수정, 홍소영, 정미숙, 김서영, 김환진, 사문영, 한신, 심규혁, 김율, 황창영",2D,디지털,전체관람가
7,7,1,OLD,20234114,괴물,2023-11-29,43315128,2.2,-49066552,-53.1,3927649083,4366,-4344,-49.9,400503,199,279,2024-01-02,126,2023,개봉,장편,일본,드라마,고레에다 히로카즈,"안도 사쿠라, 다나카 유코, 나가야마 에이타, 쿠로카와 소야, 히이라기 히나타",2D,디지털,12세이상관람가
8,8,-1,OLD,20235290,도티와 영원의 탑,2023-12-27,32972556,1.7,-67052161,-67.0,521159249,3777,-6927,-64.7,56177,301,345,2024-01-02,86,2023,개봉,장편,한국,애니메이션,배완,"나희선, 최예린, 이민호, 이민형, 차재원, 엄상현, 이명호, 방보용, 정빈, 김하영, 김병선, 임채빈, 김도희, 이주원, 주백호, 송훈, 박도영, 김근환, 장은서, 정서진, 박현기, 김시우, 송희, 김기운, 하시안, 서부건, 조수아, 김예은, 권서준, 이나영, 조성하, 최아림, 강지민, 공은빈, 김성하, 옥수진, 유규선, 천민규, 한효경, 정찬, 박신후, 김경륜, 이지우, 허은우, 김경림, 홍성빈, 이영호, 고연우, 김로아, 홍윤서, 박채원, 이지엘, 이효린, 이다은, 최예원, 하예은, 하예설, 임소여, 오지수, 손정민, 이율주, 남도형, 신범식",2D,디지털,전체관람가
9,9,0,OLD,20236045,"바다 탐험대 옥토넛 어보브 앤 비욘드: 버드, 옥토경보를 울려라!",2023-12-27,26098300,1.3,-26996230,-50.8,399072590,3343,-3128,-48.3,48637,183,209,2024-01-02,68,2023,개봉,장편,영국,애니메이션,,,2D,디지털 더빙,전체관람가
10,10,3,OLD,20233299,크레센도,2023-12-20,15612000,0.8,-13591100,-46.5,439910400,1920,-614,-24.2,41365,79,117,2024-01-02,111,2023,개봉,장편,미국,다큐멘터리,헤더 윌크,,2D,디지털,전체관람가
1,1,16,OLD,20235834,위시,2024-01-03,1019797893,41.8,1017502893,44335.6,1032430893,110521,110266,43241.6,111858,1157,4338,2024-01-03,94,2023,개봉,장편,미국,애니메이션,크리스 벅,"아리아나 데보스, 크리스 파인, 알란 터딕","2D, 2D, 3D, 3D, 4D, 4D, DOLBYCINEMA","디지털, 디지털 더빙, 3D 디지털, 3D 더빙, 4D 더빙, 4D, DOLBYCINEMA",전체관람가
2,2,-1,OLD,20203702,노량: 죽음의 바다,2023-12-20,494277758,20.2,-162756121,-24.8,38077429742,53614,-17376,-24.5,3853454,1440,4320,2024-01-03,152,2022,개봉,장편,한국,사극,김한민,"김윤석, 백윤식, 정재영, 허준호, 김성규, 이규형, 이무생, 최덕문, 안보현, 박명훈, 박훈, 문정희, 정기섭, 유성주, 안성봉, 안세호, 이성욱, 오누리, 주석태, 최광제, 최정태, 김중희, 안성기, 여진구, 이제훈, 박용우, 김민상, 공명, 남명렬, 남경읍, 배한성, 김재영, 최단비, 송요셉, 김효민, 강성락, 이건록, 노형원, 임일규, 허재호, 한우진, 이재한, 강신구, 이태형, 김형석, 최돈학, 이지영, 이상호, 전운종, 한대훈, 정대경, 고해성, 남상우, 정영록, 이재우, 고기영, 문바롬, 이동희, 김용준, 손대민, 윤상영, 박형준, 이규탁, 김범수, 박상원, 진범일, 서한돌, 조성국, 이시안, 서대건, 정시훈, 김시우, 김준석, 박성현, 김형록, 황성웅, 위민국, 이민수, 김진형, 윤현승, 남태우, 우혁, 김무섭, 구본혁, 채강, 채원우, 김동환, 한재학, 정동근, 지상우, 송치훈, 김태응, 강민태, 박웅선, 강수호, 박현욱, 김서준, 황재운, 이웅규, 박범규, 김시국, 서현재, 김백겸, 공지삵, 강태우, 이승헌, 함진성, 이동현, 이원희, 박누가, 손수호, 최기표, 황민혁, 정하영, 신형근, 정유준, 서정민, 정민혁, 김태훈, 정종훈, 김서빈, 조현수, 윤영진, 하영진, 정민철, 김명수, 양동혁, 박성현, 정승현, 백경선, 임성민, 엄기영, 박인국, 유명환, 김민수, 오영철, 최지현, 오동훈, 윤혁진, 민주호, 김동형, 이창균, 김경훈, 김진욱, 홍기주, 이종섭, 오창후, 허재욱, 박상준, 허태경, 안준호, 조재현, 최지환, 문형돈, 오지훈, 이시헌, 박원진, 한지은, 신재영, 송광주, 장루이, 현서영, 신치영, 황민형, 김한상, 장유화, 연원모, 김지안, 석예린, 권지희, 문정환, 변봉식, 박광복, 박선애","2D, 2D, 2D, 4D, IMAX, ScreenX, DOLBYCINEMA","디지털, 디지털 한글자막 CC, 디지털 가치봄, 4D, IMAX, ScreenX, DOLBYCINEMA",12세이상관람가
3,3,-1,OLD,20212866,서울의 봄,2023-11-22,477097348,19.5,-168379274,-26.1,119139494517,50166,-17600,-26.0,12235133,1308,4144,2024-01-03,141,2022,개봉,장편,한국,드라마,김성수,"황정민, 정우성, 이성민, 박해준, 김성균, 김의성, 정동환, 안내상, 유성주, 최병모, 박훈, 이재윤, 김성오, 남윤호, 홍서준, 안세호, 정형석, 박정학, 박원상, 박민이, 염동헌, 전진기, 차래형, 공재민, 권혁, 한창현, 송영근, 전수지, 서광재, 임철형, 현봉식, 곽자형, 전운종, 이승희, 김기무, 문성복, 김옥주, 박정표, 곽진석, 한규원, 우미화, 차건우, 최원경, 정만식, 정해인, 이준혁, 이귀우, 우아름, 김지원, 최기동, 양영문","2D, 2D, 2D, IMAX","디지털, 디지털 한글자막 CC, 디지털 가치봄, IMAX",12세이상관람가
4,4,-1,OLD,20236146,신차원! 짱구는 못말려 더 무비 초능력 대결전 ~날아라 수제김밥~,2023-12-22,133416798,5.5,-45527915,-25.4,6384106520,14405,-4962,-25.6,660280,592,1088,2024-01-03,94,2023,개봉,장편,일본,애니메이션,오네 히토시,,"2D, 2D, 2D","디지털, 디지털 한글자막 CC, 디지털 더빙",전체관람가
5,5,-1,OLD,20235735,아쿠아맨과 로스트 킹덤,2023-12-20,77136139,3.2,-65026577,-45.7,8186883608,8299,-6641,-44.5,795593,607,1078,2024-01-03,123,2023,개봉,장편,미국,액션,제임스 완,"제이슨 모모아, 패트릭 윌슨, 야히아 압둘 마틴 2세, 앰버 허드, 니콜 키드먼","2D, 4D, IMAX, ScreenX, DOLBYCINEMA","디지털, 4D, IMAX, ScreenX, DOLBYCINEMA",12세이상관람가
6,6,1,OLD,20234114,괴물,2023-11-29,40171254,1.6,-3143874,-7.3,3967820337,4005,-361,-8.3,404508,193,285,2024-01-03,126,2023,개봉,장편,일본,드라마,고레에다 히로카즈,"안도 사쿠라, 다나카 유코, 나가야마 에이타, 쿠로카와 소야, 히이라기 히나타",2D,디지털,12세이상관람가
7,7,-1,OLD,20234673,뽀로로 극장판 슈퍼스타 대모험,2023-12-13,34341717,1.4,-11210328,-24.6,3126813645,3726,-1100,-22.8,341328,193,244,2024-01-03,77,2023,개봉,장편,한국,애니메이션,윤제완,"이선, 이미자, 함수정, 홍소영, 정미숙, 김서영, 김환진, 사문영, 한신, 심규혁, 김율, 황창영",2D,디지털,전체관람가
8,8,-3,OLD,20235596,트롤: 밴드 투게더,2023-12-20,32119107,1.3,-35510998,-52.5,3482931167,3537,-4020,-53.2,377021,284,365,2024-01-03,91,2023,개봉,장편,미국,애니메이션,월트 도른,"안나 켄드릭, 저스틴 팀버레이크, 주이 디샤넬, 에이미 슈머, 앤드류 라넬스","2D, 2D, 4D, 4D, DOLBYCINEMA","디지털, 디지털 더빙, 4D 더빙, 4D, DOLBYCINEMA",전체관람가
9,9,0,NEW,20235253,외계+인 2부,2024-01-10,32928000,1.3,32928000,100.0,32928000,3104,3104,100.0,3104,8,11,2024-01-03,122,2023,개봉,장편,한국,기타,최동훈,"류준열, 김태리, 김우빈, 이하늬, 염정아, 조우진, 김의성, 진선규, 신정근, 윤경호, 이시훈, 최미금, 위지웅","2D, 4D, IMAX, ScreenX","디지털, 4D, IMAX, ScreenX",12세이상관람가
10,10,-1,OLD,20236045,"바다 탐험대 옥토넛 어보브 앤 비욘드: 버드, 옥토경보를 울려라!",2023-12-27,18029700,0.7,-8068600,-30.9,417102290,2270,-1073,-32.1,50907,146,152,2024-01-03,68,2023,개봉,장편,영국,애니메이션,,,2D,디지털 더빙,전체관람가
1,1,0,OLD,20235834,위시,2024-01-03,640169149,31.7,-379628744,-37.2,1672600042,68674,-41847,-37.9,180532,1189,4302,2024-01-04,94,2023,개봉,장편,미국,애니메이션,크리스 벅,"아리아나 데보스, 크리스 파인, 알란 터딕","2D, 2D, 3D, 3D, 4D, 4D, DOLBYCINEMA","디지털, 디지털 더빙, 3D 디지털, 3D 더빙, 4D 더빙, 4D, DOLBYCINEMA",전체관람가
2,2,1,OLD,20212866,서울의 봄,2023-11-22,428418007,21.2,-48679341,-10.2,119567912524,45359,-4807,-9.6,12280492,1291,4030,2024-01-04,141,2022,개봉,장편,한국,드라마,김성수,"황정민, 정우성, 이성민, 박해준, 김성균, 김의성, 정동환, 안내상, 유성주, 최병모, 박훈, 이재윤, 김성오, 남윤호, 홍서준, 안세호, 정형석, 박정학, 박원상, 박민이, 염동헌, 전진기, 차래형, 공재민, 권혁, 한창현, 송영근, 전수지, 서광재, 임철형, 현봉식, 곽자형, 전운종, 이승희, 김기무, 문성복, 김옥주, 박정표, 곽진석, 한규원, 우미화, 차건우, 최원경, 정만식, 정해인, 이준혁, 이귀우, 우아름, 김지원, 최기동, 양영문","2D, 2D, 2D, IMAX","디지털, 디지털 한글자막 CC, 디지털 가치봄, IMAX",12세이상관람가
3,3,-1,OLD,20203702,노량: 죽음의 바다,2023-12-20,414890862,20.6,-79386896,-16.1,38492320604,44860,-8754,-16.3,3898314,1402,4111,2024-01-04,152,2022,개봉,장편,한국,사극,김한민,"김윤석, 백윤식, 정재영, 허준호, 김성규, 이규형, 이무생, 최덕문, 안보현, 박명훈, 박훈, 문정희, 정기섭, 유성주, 안성봉, 안세호, 이성욱, 오누리, 주석태, 최광제, 최정태, 김중희, 안성기, 여진구, 이제훈, 박용우, 김민상, 공명, 남명렬, 남경읍, 배한성, 김재영, 최단비, 송요셉, 김효민, 강성락, 이건록, 노형원, 임일규, 허재호, 한우진, 이재한, 강신구, 이태형, 김형석, 최돈학, 이지영, 이상호, 전운종, 한대훈, 정대경, 고해성, 남상우, 정영록, 이재우, 고기영, 문바롬, 이동희, 김용준, 손대민, 윤상영, 박형준, 이규탁, 김범수, 박상원, 진범일, 서한돌, 조성국, 이시안, 서대건, 정시훈, 김시우, 김준석, 박성현, 김형록, 황성웅, 위민국, 이민수, 김진형, 윤현승, 남태우, 우혁, 김무섭, 구본혁, 채강, 채원우, 김동환, 한재학, 정동근, 지상우, 송치훈, 김태응, 강민태, 박웅선, 강수호, 박현욱, 김서준, 황재운, 이웅규, 박범규, 김시국, 서현재, 김백겸, 공지삵, 강태우, 이승헌, 함진성, 이동현, 이원희, 박누가, 손수호, 최기표, 황민혁, 정하영, 신형근, 정유준, 서정민, 정민혁, 김태훈, 정종훈, 김서빈, 조현수, 윤영진, 하영진, 정민철, 김명수, 양동혁, 박성현, 정승현, 백경선, 임성민, 엄기영, 박인국, 유명환, 김민수, 오영철, 최지현, 오동훈, 윤혁진, 민주호, 김동형, 이창균, 김경훈, 김진욱, 홍기주, 이종섭, 오창후, 허재욱, 박상준, 허태경, 안준호, 조재현, 최지환, 문형돈, 오지훈, 이시헌, 박원진, 한지은, 신재영, 송광주, 장루이, 현서영, 신치영, 황민형, 김한상, 장유화, 연원모, 김지안, 석예린, 권지희, 문정환, 변봉식, 박광복, 박선애","2D, 2D, 2D, 4D, IMAX, ScreenX, DOLBYCINEMA","디지털, 디지털 한글자막 CC, 디지털 가치봄, 4D, IMAX, ScreenX, DOLBYCINEMA",12세이상관람가
4,4,0,OLD,20236146,신차원! 짱구는 못말려 더 무비 초능력 대결전 ~날아라 수제김밥~,2023-12-22,112157785,5.6,-21259013,-15.9,6496264305,12113,-2292,-15.9,672393,586,1005,2024-01-04,94,2023,개봉,장편,일본,애니메이션,오네 히토시,,"2D, 2D, 2D","디지털, 디지털 한글자막 CC, 디지털 더빙",전체관람가
5,5,55,OLD,20228555,더 퍼스트 슬램덩크,2023-01-04,79659736,3.9,79580697,100685.4,50197115415,8114,8106,101325.0,4800388,305,491,2024-01-04,124,2022,개봉,장편,일본,애니메이션,이노우에 다케히코,,"2D, 2D, IMAX, DOLBYCINEMA","디지털, 디지털 더빙, IMAX, DOLBYCINEMA",12세이상관람가
6,6,-1,OLD,20235735,아쿠아맨과 로스트 킹덤,2023-12-20,66982176,3.3,-10153963,-13.2,8253865784,7170,-1129,-13.6,802763,578,918,2024-01-04,123,2023,개봉,장편,미국,액션,제임스 완,"제이슨 모모아, 패트릭 윌슨, 야히아 압둘 마틴 2세, 앰버 허드, 니콜 키드먼","2D, 4D, IMAX, ScreenX, DOLBYCINEMA","디지털, 4D, IMAX, ScreenX, DOLBYCINEMA",12세이상관람가
7,7,0,NEW,20235583,인투 더 월드,2024-01-10,53370000,2.6,53370000,100.0,106940000,5898,5898,100.0,11713,30,30,2024-01-04,91,2023,개봉,장편,미국,애니메이션,벤자민 레너,"엘리자베스 뱅크스, 캐롤 케인, 아콰피나, 쿠마일 난지아니","2D, 2D, 4D, 4D, ScreenX, DOLBYCINEMA","디지털, 디지털 더빙, 4D 더빙, 4D, ScreenX, DOLBYCINEMA",전체관람가
8,8,-2,OLD,20234114,괴물,2023-11-29,35140984,1.7,-5030270,-12.5,4002961321,3494,-511,-12.8,408002,196,261,2024-01-04,126,2023,개봉,장편,일본,드라마,고레에다 히로카즈,"안도 사쿠라, 다나카 유코, 나가야마 에이타, 쿠로카와 소야, 히이라기 히나타",2D,디지털,12세이상관람가
9,9,-1,OLD,20235596,트롤: 밴드 투게더,2023-12-20,27306092,1.4,-4813015,-15.0,3510237259,3119,-418,-11.8,380140,278,342,2024-01-04,91,2023,개봉,장편,미국,애니메이션,월트 도른,"안나 켄드릭, 저스틴 팀버레이크, 주이 디샤넬, 에이미 슈머, 앤드류 라넬스","2D, 2D, 4D, 4D, DOLBYCINEMA","디지털, 디지털 더빙, 4D 더빙, 4D, DOLBYCINEMA",전체관람가
10,10,-3,OLD,20234673,뽀로로 극장판 슈퍼스타 대모험,2023-12-13,27987535,1.4,-6354182,-18.5,3154801180,3051,-675,-18.1,344379,201,257,2024-01-04,77,2023,개봉,장편,한국,애니메이션,윤제완,"이선, 이미자, 함수정, 홍소영, 정미숙, 김서영, 김환진, 사문영, 한신, 심규혁, 김율, 황창영",2D,디지털,전체관람가
1,1,0,OLD,20235834,위시,2024-01-03,832737586,34.4,192568437,30.1,2505337628,85557,16883,24.6,266089,1302,4880,2024-01-05,94,2023,개봉,장편,미국,애니메이션,크리스 벅,"아리아나 데보스, 크리스 파인, 알란 터딕","2D, 2D, 3D, 3D, 4D, 4D, DOLBYCINEMA","디지털, 디지털 더빙, 3D 디지털, 3D 더빙, 4D 더빙, 4D, DOLBYCINEMA",전체관람가
2,2,0,OLD,20212866,서울의 봄,2023-11-22,536930956,22.2,108512949,25.3,120104843480,53788,8429,18.6,12334280,1284,4067,2024-01-05,141,2022,개봉,장편,한국,드라마,김성수,"황정민, 정우성, 이성민, 박해준, 김성균, 김의성, 정동환, 안내상, 유성주, 최병모, 박훈, 이재윤, 김성오, 남윤호, 홍서준, 안세호, 정형석, 박정학, 박원상, 박민이, 염동헌, 전진기, 차래형, 공재민, 권혁, 한창현, 송영근, 전수지, 서광재, 임철형, 현봉식, 곽자형, 전운종, 이승희, 김기무, 문성복, 김옥주, 박정표, 곽진석, 한규원, 우미화, 차건우, 최원경, 정만식, 정해인, 이준혁, 이귀우, 우아름, 김지원, 최기동, 양영문","2D, 2D, 2D, IMAX","디지털, 디지털 한글자막 CC, 디지털 가치봄, IMAX",12세이상관람가
